Var1	Freq	shank.match.motif.df$gene_name[1:nrow(.)]
Alx1	2	Shank3
Alx4	1	Shank3
Ar	3	Shank3
Arid3b	5	Shank3
Arid5a	1	Shank3
Arntl	1	Shank3
Arx	3	Shank3
ASCL1	10	Shank3
Ascl2	10	Shank3
ATF4	1	Shank3
ATF7	1	Shank3
Atoh1	2	Shank3
Bach1::Mafk	4	Shank3
BACH2	3	Shank3
BARHL2	1	Shank3
BATF::JUN	3	Shank3
BATF3	5	Shank3
Bcl6	5	Shank3
BCL6B	10	Shank3
BHLHE22	3	Shank3
BHLHE23	2	Shank3
BHLHE40	1	Shank3
CDX2	4	Shank3
CEBPA	3	Shank3
CLOCK	5	Shank3
CREB1	6	Shank3
CREB3	3	Shank3
CREB3L1	1	Shank3
Creb5	3	Shank3
Crx	2	Shank3
CTCF	11	Shank3
CTCFL	5	Shank3
DBP	4	Shank3
Dlx1	1	Shank3
Dmbx1	1	Shank3
DMRT3	2	Shank3
DUX4	5	Shank3
DUXA	5	Shank3
E2F4	1	Shank3
E2F6	4	Shank3
E2F7	2	Shank3
E2F8	2	Shank3
EBF1	5	Shank3
EGR1	2	Shank3
EGR2	3	Shank3
EGR3	1	Shank3
EGR4	2	Shank3
ELF3	2	Shank3
ELF4	1	Shank3
ELF5	3	Shank3
ELK1	1	Shank3
ELK3	1	Shank3
ELK4	3	Shank3
EOMES	4	Shank3
ERF	2	Shank3
ERG	2	Shank3
ESR1	4	Shank3
ESR2	6	Shank3
Esrra	4	Shank3
ESRRB	4	Shank3
Esrrg	4	Shank3
ETS1	3	Shank3
ETV2	7	Shank3
ETV5	2	Shank3
ETV6	3	Shank3
EVX1	1	Shank3
EWSR1-FLI1	49	Shank3
FIGLA	4	Shank3
FLI1	2	Shank3
FOS	2	Shank3
FOS::JUN	2	Shank3
FOS::JUN(var.2)	1	Shank3
FOS::JUNB	2	Shank3
FOS::JUND	1	Shank3
FOSB::JUN	1	Shank3
FOSB::JUNB	2	Shank3
FOSB::JUNB(var.2)	3	Shank3
FOSL1	4	Shank3
FOSL1::JUN	1	Shank3
FOSL1::JUN(var.2)	1	Shank3
FOSL1::JUNB	1	Shank3
FOSL1::JUND	1	Shank3
FOSL1::JUND(var.2)	1	Shank3
FOSL2	3	Shank3
FOSL2::JUN	1	Shank3
FOSL2::JUN(var.2)	4	Shank3
FOSL2::JUNB	2	Shank3
FOSL2::JUNB(var.2)	2	Shank3
FOSL2::JUND	2	Shank3
FOSL2::JUND(var.2)	4	Shank3
FOXA1	1	Shank3
FOXB1	19	Shank3
FOXC1	18	Shank3
FOXC2	22	Shank3
FOXF2	2	Shank3
FOXH1	6	Shank3
Foxj3	19	Shank3
FOXK1	6	Shank3
FOXK2	6	Shank3
Foxo1	3	Shank3
FOXP1	5	Shank3
FOXP2	9	Shank3
Gabpa	1	Shank3
Gata1	4	Shank3
GATA1::TAL1	2	Shank3
GATA2	2	Shank3
Gata4	3	Shank3
GATA6	4	Shank3
Gfi1b	8	Shank3
GLI2	4	Shank3
GLIS1	1	Shank3
GLIS2	9	Shank3
GLIS3	2	Shank3
Gmeb1	1	Shank3
GRHL2	3	Shank3
GSC	2	Shank3
GSC2	2	Shank3
GSX1	1	Shank3
GSX2	1	Shank3
Hand1::Tcf3	5	Shank3
Hes1	2	Shank3
Hes2	4	Shank3
HES5	2	Shank3
HES7	1	Shank3
HEY1	3	Shank3
HEY2	3	Shank3
HINFP	1	Shank3
HLF	4	Shank3
HMBOX1	1	Shank3
Hmx1	8	Shank3
Hmx2	10	Shank3
Hmx3	12	Shank3
HNF1A	8	Shank3
HNF1B	3	Shank3
Hnf4a	6	Shank3
HNF4G	7	Shank3
