tfbs	frequency	gene
ALX3	1	pvalb
Alx4	1	pvalb
Ar	4	pvalb
Arid3b	1	pvalb
Arid5a	1	pvalb
ARNT2	1	pvalb
Arntl	1	pvalb
ASCL1	8	pvalb
ASCL1(var.2)	8	pvalb
Ascl2	7	pvalb
ATF2	2	pvalb
ATF7	2	pvalb
Atoh1	1	pvalb
ATOH1(var.2)	5	pvalb
ATOH7	1	pvalb
BACH1	9	pvalb
Bach1::Mafk	7	pvalb
BACH2	5	pvalb
BACH2(var.2)	3	pvalb
BARHL2	1	pvalb
BATF	5	pvalb
BATF::JUN	5	pvalb
BATF3	5	pvalb
BCL6	4	pvalb
BCL6B	3	pvalb
BHLHA15(var.2)	4	pvalb
BHLHE22	2	pvalb
BHLHE22(var.2)	14	pvalb
BHLHE23	1	pvalb
BHLHE40	1	pvalb
CDX1	1	pvalb
CDX2	3	pvalb
CDX4	1	pvalb
CEBPA	1	pvalb
CEBPB	1	pvalb
CEBPD	1	pvalb
CEBPE	1	pvalb
CEBPG	1	pvalb
CREB1	3	pvalb
Creb5	1	pvalb
CREM	1	pvalb
CTCF	7	pvalb
CTCFL	2	pvalb
CUX1	1	pvalb
CUX2	1	pvalb
DBP	2	pvalb
Dlx1	1	pvalb
Dmrt1	1	pvalb
DMRT3	2	pvalb
DMRTA2	1	pvalb
DMRTC2	2	pvalb
DPRX	1	pvalb
DUX4	2	pvalb
DUXA	1	pvalb
E2F2	1	pvalb
E2F4	1	pvalb
E2F6	5	pvalb
E2F7	3	pvalb
E2F8	2	pvalb
EBF1	5	pvalb
Ebf2	3	pvalb
EBF3	3	pvalb
EGR1	5	pvalb
EGR3	1	pvalb
EGR4	1	pvalb
EHF	4	pvalb
ELF1	9	pvalb
ELF2	3	pvalb
ELF3	5	pvalb
ELF4	4	pvalb
ELF5	6	pvalb
ELK1	2	pvalb
ELK3	2	pvalb
ELK4	2	pvalb
EMX2	2	pvalb
EN2	1	pvalb
EOMES	3	pvalb
ERF	1	pvalb
ERG	1	pvalb
ESR1	2	pvalb
ESR2	7	pvalb
ESRRA	7	pvalb
ESRRB	6	pvalb
Esrrg	6	pvalb
ETS1	1	pvalb
ETS2	1	pvalb
ETV1	8	pvalb
ETV2	1	pvalb
ETV3	2	pvalb
ETV4	12	pvalb
ETV5	1	pvalb
ETV6	4	pvalb
EVX1	2	pvalb
EVX2	2	pvalb
EWSR1-FLI1	16	pvalb
FERD3L	5	pvalb
FEV	2	pvalb
FIGLA	5	pvalb
FLI1	1	pvalb
FOS	4	pvalb
FOS::JUN	2	pvalb
FOS::JUN(var.2)	1	pvalb
FOS::JUNB	4	pvalb
FOS::JUND	3	pvalb
FOSB::JUN	1	pvalb
FOSB::JUNB	6	pvalb
FOSB::JUNB(var.2)	1	pvalb
FOSL1	6	pvalb
FOSL1::JUN	6	pvalb
FOSL1::JUN(var.2)	1	pvalb
FOSL1::JUNB	5	pvalb
FOSL1::JUND	4	pvalb
FOSL1::JUND(var.2)	2	pvalb
FOSL2	5	pvalb
FOSL2::JUN	4	pvalb
FOSL2::JUN(var.2)	1	pvalb
FOSL2::JUNB	4	pvalb
FOSL2::JUNB(var.2)	1	pvalb
FOSL2::JUND	7	pvalb
FOXA1	1	pvalb
FOXB1	3	pvalb
FOXC1	3	pvalb
FOXC2	8	pvalb
FOXD2	7	pvalb
FOXE1	6	pvalb
Foxf1	2	pvalb
FOXF2	3	pvalb
FOXH1	1	pvalb
Foxj3	6	pvalb
Foxl2	2	pvalb
Foxo1	2	pvalb
FOXP1	2	pvalb
FOXP2	3	pvalb
GABPA	5	pvalb
GATA1	3	pvalb
GATA1::TAL1	1	pvalb
GATA2	2	pvalb
GATA4	2	pvalb
GATA5	1	pvalb
