tfbs	frequency	gene
Ar	2	pvalb
Arid3b	1	pvalb
ARNT2	1	pvalb
Arntl	1	pvalb
ASCL1	5	pvalb
ASCL1(var.2)	6	pvalb
Ascl2	5	pvalb
ATF2	1	pvalb
ATF7	1	pvalb
ATOH1(var.2)	3	pvalb
BACH1	4	pvalb
Bach1::Mafk	4	pvalb
BACH2	3	pvalb
BACH2(var.2)	1	pvalb
BATF	2	pvalb
BATF::JUN	2	pvalb
BATF3	2	pvalb
BCL6	2	pvalb
BCL6B	1	pvalb
BHLHA15(var.2)	3	pvalb
BHLHE22(var.2)	7	pvalb
BHLHE40	1	pvalb
CDX2	2	pvalb
CEBPB	1	pvalb
CEBPE	1	pvalb
CEBPG	1	pvalb
CREB1	2	pvalb
CREM	1	pvalb
CTCF	5	pvalb
DBP	1	pvalb
Dmrt1	1	pvalb
DMRT3	1	pvalb
DMRTA2	1	pvalb
DMRTC2	2	pvalb
DUX4	2	pvalb
DUXA	1	pvalb
E2F2	1	pvalb
E2F4	1	pvalb
E2F7	1	pvalb
EBF1	4	pvalb
Ebf2	3	pvalb
EBF3	3	pvalb
EGR1	5	pvalb
EGR3	1	pvalb
EGR4	1	pvalb
EHF	2	pvalb
ELF1	4	pvalb
ELF2	2	pvalb
ELF3	3	pvalb
ELF4	2	pvalb
ELF5	4	pvalb
ELK1	2	pvalb
ELK3	2	pvalb
ELK4	1	pvalb
EOMES	2	pvalb
ERF	1	pvalb
ERG	1	pvalb
ESR2	2	pvalb
ESRRA	3	pvalb
ESRRB	2	pvalb
Esrrg	2	pvalb
ETS1	1	pvalb
ETS2	1	pvalb
ETV1	3	pvalb
ETV2	1	pvalb
ETV3	2	pvalb
ETV4	2	pvalb
ETV6	4	pvalb
EWSR1-FLI1	5	pvalb
FERD3L	4	pvalb
FEV	2	pvalb
FIGLA	3	pvalb
FLI1	1	pvalb
FOS	2	pvalb
FOS::JUN	1	pvalb
FOS::JUNB	2	pvalb
FOS::JUND	2	pvalb
FOSB::JUNB	2	pvalb
FOSL1	2	pvalb
FOSL1::JUN	1	pvalb
