tfbs	frequency	gene
Alx1	5	SHANK3
ALX3	4	SHANK3
Alx4	5	SHANK3
Ar	5	SHANK3
Arid3b	15	SHANK3
Arid5a	5	SHANK3
Arntl	4	SHANK3
Arx	6	SHANK3
ASCL1	22	SHANK3
Ascl2	22	SHANK3
ATF4	4	SHANK3
ATF7	2	SHANK3
Atoh1	1	SHANK3
Bach1::Mafk	9	SHANK3
BACH2	10	SHANK3
Barhl1	5	SHANK3
BARHL2	1	SHANK3
BATF::JUN	5	SHANK3
BATF3	1	SHANK3
Bcl6	10	SHANK3
BCL6B	8	SHANK3
BHLHE22	1	SHANK3
BHLHE40	3	SHANK3
BHLHE41	2	SHANK3
CDX2	15	SHANK3
CEBPA	6	SHANK3
CEBPB	2	SHANK3
CEBPD	2	SHANK3
CEBPE	2	SHANK3
CEBPG	2	SHANK3
CENPB	1	SHANK3
CLOCK	35	SHANK3
CREB1	8	SHANK3
CREB3	3	SHANK3
CREB3L1	5	SHANK3
Creb5	4	SHANK3
Crx	5	SHANK3
CTCF	16	SHANK3
CTCFL	6	SHANK3
CUX1	3	SHANK3
CUX2	2	SHANK3
DBP	3	SHANK3
Ddit3::Cebpa	8	SHANK3
Dlx1	4	SHANK3
Dmbx1	4	SHANK3
DMRT3	5	SHANK3
DUX4	8	SHANK3
DUXA	5	SHANK3
E2F2	1	SHANK3
E2F4	9	SHANK3
E2F6	17	SHANK3
E2F7	4	SHANK3
E2F8	8	SHANK3
EBF1	11	SHANK3
EGR1	7	SHANK3
EGR2	6	SHANK3
EGR3	12	SHANK3
EGR4	8	SHANK3
EHF	3	SHANK3
ELF1	3	SHANK3
ELF3	4	SHANK3
ELF4	3	SHANK3
ELF5	4	SHANK3
ELK1	1	SHANK3
ELK4	4	SHANK3
EMX1	2	SHANK3
EMX2	4	SHANK3
EN2	1	SHANK3
EOMES	10	SHANK3
ERF	1	SHANK3
ERG	1	SHANK3
ESR1	17	SHANK3
ESR2	13	SHANK3
Esrra	5	SHANK3
ESRRB	5	SHANK3
Esrrg	4	SHANK3
ESX1	1	SHANK3
ETS1	1	SHANK3
ETV2	2	SHANK3
ETV3	1	SHANK3
ETV5	1	SHANK3
ETV6	4	SHANK3
EVX1	3	SHANK3
EVX2	4	SHANK3
EWSR1-FLI1	33	SHANK3
FEV	1	SHANK3
FIGLA	18	SHANK3
FLI1	1	SHANK3
FOS	8	SHANK3
FOS::JUN	3	SHANK3
FOS::JUN(var.2)	1	SHANK3
FOS::JUNB	7	SHANK3
FOS::JUND	4	SHANK3
FOSB::JUN	1	SHANK3
FOSB::JUNB	7	SHANK3
FOSB::JUNB(var.2)	1	SHANK3
FOSL1	9	SHANK3
FOSL1::JUN	8	SHANK3
FOSL1::JUN(var.2)	2	SHANK3
FOSL1::JUNB	9	SHANK3
FOSL1::JUND	8	SHANK3
FOSL1::JUND(var.2)	1	SHANK3
FOSL2	8	SHANK3
FOSL2::JUN	4	SHANK3
FOSL2::JUN(var.2)	3	SHANK3
FOSL2::JUNB	7	SHANK3
FOSL2::JUNB(var.2)	3	SHANK3
FOSL2::JUND	7	SHANK3
FOSL2::JUND(var.2)	2	SHANK3
FOXA1	10	SHANK3
Foxa2	10	SHANK3
FOXB1	18	SHANK3
FOXC1	14	SHANK3
FOXC2	19	SHANK3
Foxd3	26	SHANK3
FOXF2	6	SHANK3
FOXH1	7	SHANK3
Foxj3	12	SHANK3
FOXK1	6	SHANK3
FOXK2	4	SHANK3
Foxo1	11	SHANK3
FOXP1	6	SHANK3
FOXP2	9	SHANK3
Foxq1	12	SHANK3
Gabpa	2	SHANK3
Gata1	6	SHANK3
GATA1::TAL1	2	SHANK3
GATA2	6	SHANK3
Gata4	5	SHANK3
GATA6	7	SHANK3
GBX1	1	SHANK3
GBX2	5	SHANK3
GCM1	3	SHANK3
GCM2	2	SHANK3
Gfi1	6	SHANK3
Gfi1b	13	SHANK3
GLI2	5	SHANK3
GLIS1	7	SHANK3
GLIS2	8	SHANK3
GLIS3	6	SHANK3
