motif_nm	freq
Alx1	5
ALX3	4
Alx4	5
Ar	5
Arid3b	15
Arid5a	5
Arntl	4
Arx	6
ASCL1	22
Ascl2	22
ATF4	4
ATF7	2
Atoh1	1
Bach1::Mafk	9
BACH2	10
Barhl1	5
BARHL2	1
BATF::JUN	5
BATF3	1
Bcl6	10
BCL6B	8
BHLHE22	1
BHLHE40	3
BHLHE41	2
CDX2	15
CEBPA	6
CEBPB	2
CEBPD	2
CEBPE	2
CEBPG	2
CENPB	1
CLOCK	35
CREB1	8
CREB3	3
CREB3L1	5
Creb5	4
Crx	5
CTCF	16
CTCFL	6
CUX1	3
CUX2	2
DBP	3
Dlx1	4
Dmbx1	4
DMRT3	5
DUX4	8
DUXA	5
E2F2	1
E2F4	9
E2F6	17
E2F7	4
E2F8	8
EBF1	11
EGR1	7
EGR2	6
EGR3	12
EGR4	8
EHF	3
ELF1	3
ELF3	4
ELF4	3
ELF5	4
ELK1	1
ELK4	4
EMX1	2
EMX2	4
EN2	1
EOMES	10
ERF	1
ERG	1
ESR1	17
ESR2	13
Esrra	5
ESRRB	5
Esrrg	4
ESX1	1
ETS1	1
ETV2	2
ETV3	1
ETV5	1
ETV6	4
EVX1	3
EVX2	4
EWSR1-FLI1	33
FEV	1
FIGLA	18
FLI1	1
FOS	8
FOS::JUN	3
FOS::JUN(var.2)	1
FOS::JUNB	7
FOS::JUND	4
FOSB::JUN	1
FOSB::JUNB	7
FOSB::JUNB(var.2)	1
FOSL1	9
FOSL1::JUN	8
FOSL1::JUN(var.2)	2
FOSL1::JUNB	9
FOSL1::JUND	8
FOSL1::JUND(var.2)	1
FOSL2	8
FOSL2::JUN	4
FOSL2::JUN(var.2)	3
FOSL2::JUNB	7
FOSL2::JUNB(var.2)	3
FOSL2::JUND	7
FOSL2::JUND(var.2)	2
FOXA1	10
Foxa2	10
FOXB1	18
FOXC1	14
FOXC2	19
FOXF2	6
FOXH1	7
Foxj3	12
FOXK1	6
FOXK2	4
Foxo1	11
FOXP1	6
FOXP2	9
Gabpa	2
Gata1	6
GATA1::TAL1	2
GATA2	6
Gata4	5
GATA6	7
GBX1	1
GBX2	5
GCM1	3
GCM2	2
Gfi1b	13
GLI2	5
GLIS1	7
GLIS2	8
GLIS3	6
Gmeb1	1
GRHL1	4
GRHL2	3
GSC2	1
GSX1	6
GSX2	6
Hand1::Tcf3	3
Hes1	4
Hes2	8
HES5	8
HES7	7
HESX1	4
HEY1	10
HEY2	8
HIF1A	4
HINFP	2
HLF	2
HMBOX1	4
Hmx1	4
Hmx2	9
Hmx3	10
