tfbs	frequency	gene
Alx1	1	vipr2
ALX3	3	vipr2
Alx4	5	vipr2
Ar	8	vipr2
Arid3b	1	vipr2
Arid5a	1	vipr2
Arx	5	vipr2
ASCL1	17	vipr2
Ascl2	16	vipr2
ATF4	2	vipr2
Atoh1	4	vipr2
Bach1::Mafk	8	vipr2
BACH2	8	vipr2
Barhl1	3	vipr2
BARHL2	2	vipr2
BATF::JUN	5	vipr2
BATF3	1	vipr2
Bcl6	10	vipr2
BCL6B	5	vipr2
BHLHE22	3	vipr2
BHLHE23	4	vipr2
BHLHE40	1	vipr2
BHLHE41	2	vipr2
CDX2	1	vipr2
CEBPA	2	vipr2
CEBPG	1	vipr2
CLOCK	3	vipr2
CREB1	1	vipr2
CREB3	2	vipr2
CREB3L1	1	vipr2
Crx	3	vipr2
CTCF	8	vipr2
CTCFL	5	vipr2
CUX1	2	vipr2
CUX2	2	vipr2
Dlx1	3	vipr2
Dmbx1	1	vipr2
DMRT3	4	vipr2
DUX4	4	vipr2
DUXA	3	vipr2
E2F1	1	vipr2
E2F2	1	vipr2
E2F3	1	vipr2
E2F6	8	vipr2
E2F7	2	vipr2
E2F8	6	vipr2
EBF1	9	vipr2
EGR1	2	vipr2
EGR2	2	vipr2
EGR3	6	vipr2
EGR4	6	vipr2
EHF	3	vipr2
ELF1	3	vipr2
ELF3	3	vipr2
ELF4	3	vipr2
ELF5	4	vipr2
ELK3	2	vipr2
ELK4	3	vipr2
EMX1	1	vipr2
EMX2	3	vipr2
EOMES	1	vipr2
ERF	2	vipr2
ERG	2	vipr2
ESR1	6	vipr2
ESR2	6	vipr2
Esrra	3	vipr2
ESRRB	2	vipr2
Esrrg	2	vipr2
ESX1	2	vipr2
ETS1	2	vipr2
ETV1	1	vipr2
ETV2	4	vipr2
ETV4	1	vipr2
ETV6	4	vipr2
EWSR1-FLI1	40	vipr2
FEV	2	vipr2
FIGLA	7	vipr2
FLI1	1	vipr2
FOS	3	vipr2
FOS::JUN	4	vipr2
