tfbs	frequency	gene
ALX3	1	pvalb
Alx4	1	pvalb
Ar	2	pvalb
Arid5a	1	pvalb
ASCL1	6	pvalb
Ascl2	2	pvalb
Atoh1	1	pvalb
Bach1::Mafk	3	pvalb
BACH2	4	pvalb
BARHL2	1	pvalb
BATF::JUN	2	pvalb
BATF3	1	pvalb
Bcl6	3	pvalb
BCL6B	2	pvalb
BHLHE22	2	pvalb
BHLHE23	1	pvalb
CDX2	1	pvalb
CTCF	2	pvalb
CTCFL	1	pvalb
CUX1	1	pvalb
CUX2	1	pvalb
DBP	1	pvalb
Dlx1	1	pvalb
DMRT3	1	pvalb
E2F2	1	pvalb
E2F6	2	pvalb
E2F7	2	pvalb
E2F8	2	pvalb
EHF	2	pvalb
ELF1	1	pvalb
ELF3	2	pvalb
ELF4	2	pvalb
ELF5	2	pvalb
ELK4	1	pvalb
EMX1	1	pvalb
EMX2	2	pvalb
EN2	1	pvalb
EOMES	1	pvalb
ESR1	2	pvalb
ESR2	5	pvalb
Esrra	3	pvalb
ESRRB	4	pvalb
Esrrg	4	pvalb
EVX1	2	pvalb
EVX2	2	pvalb
EWSR1-FLI1	11	pvalb
FIGLA	1	pvalb
FOS	2	pvalb
FOS::JUN	1	pvalb
FOS::JUNB	2	pvalb
FOS::JUND	1	pvalb
FOSB::JUNB	3	pvalb
FOSL1	3	pvalb
FOSL1::JUN	5	pvalb
FOSL1::JUNB	4	pvalb
FOSL1::JUND	3	pvalb
FOSL2	3	pvalb
FOSL2::JUN	1	pvalb
FOSL2::JUNB	3	pvalb
FOSL2::JUND	4	pvalb
FOXC2	1	pvalb
FOXH1	1	pvalb
Foxj3	1	pvalb
Foxo1	1	pvalb
FOXP2	1	pvalb
Gata1	3	pvalb
GATA2	2	pvalb
Gata4	1	pvalb
GATA6	2	pvalb
GBX1	1	pvalb
GCM1	1	pvalb
GLI2	2	pvalb
GLIS1	1	pvalb
GSC	1	pvalb
GSC2	1	pvalb
GSX1	1	pvalb
Hand1::Tcf3	1	pvalb
HEY2	1	pvalb
HLF	1	pvalb
HNF1A	1	pvalb
HNF1B	1	pvalb
Hnf4a	1	pvalb
HNF4G	3	pvalb
HOXA10	1	pvalb
Hoxa11	1	pvalb
HOXA2	1	pvalb
Hoxa9	1	pvalb
HOXB13	1	pvalb
HOXB2	1	pvalb
Hoxb5	1	pvalb
HOXC10	1	pvalb
HOXC11	1	pvalb
HOXC12	1	pvalb
HOXC13	1	pvalb
Hoxc9	1	pvalb
HOXD11	1	pvalb
HOXD12	1	pvalb
HOXD13	1	pvalb
Hoxd8	1	pvalb
Hoxd9	2	pvalb
HSF1	1	pvalb
HSF2	2	pvalb
HSF4	1	pvalb
ID4	2	pvalb
INSM1	2	pvalb
IRF1	10	pvalb
IRF2	2	pvalb
IRF3	3	pvalb
IRF7	2	pvalb
JUN	1	pvalb
JUN::JUNB	2	pvalb
JUN(var.2)	3	pvalb
JUNB	3	pvalb
JUND	3	pvalb
Klf1	1	pvalb
KLF14	1	pvalb
KLF16	2	pvalb
KLF4	2	pvalb
KLF5	4	pvalb
KLF9	1	pvalb
LBX2	2	pvalb
LHX2	1	pvalb
LHX6	1	pvalb
MAF::NFE2	1	pvalb
Mafb	1	pvalb
MAFF	1	pvalb
MAFG	1	pvalb
MAFK	2	pvalb
Mecom	1	pvalb
MEF2A	1	pvalb
MEF2C	2	pvalb
MEF2D	1	pvalb
MITF	1	pvalb
MIXL1	1	pvalb
MSC	2	pvalb
MYB	1	pvalb
MYF6	2	pvalb
Myod1	6	pvalb
Myog	5	pvalb
NEUROD1	2	pvalb
NEUROD2	1	pvalb
Neurog1	2	pvalb
NEUROG2	1	pvalb
NFE2	2	pvalb
Nfe2l2	1	pvalb
