seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr10	748240	748250	11	-	12.9977597850328	MA0025.1	exon	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr10	781263	781273	11	-	13.3029204373025	MA0025.1	intron	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr10	798121	798131	11	-	9.45697584955857	MA0025.1	intron	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr10	793074	793087	14	+	12.3790414737046	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr10	796552	796565	14	+	13.3706221549487	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr10	763269	763282	14	-	11.3251586492112	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr10	749752	749761	10	-	13.1206634646015	MA0057.1	exon	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	753989	753998	10	-	12.9834282605137	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	782793	782802	10	-	12.3555807096076	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	782805	782814	10	-	11.8778329704913	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	786100	786109	10	-	11.8778329704913	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	801987	801996	10	-	12.063067280042	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	803602	803611	10	-	11.810988166412	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	792872	792882	11	+	12.5683803523308	MA0059.1	intron	Shank3	MAX::MYC	-	-	Homo sapiens
chr10	759197	759216	20	-	11.9661824863229	MA0066.1	exon	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	762645	762664	20	-	11.1042706480205	MA0066.1	intron	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	762728	762747	20	-	10.1095576721669	MA0066.1	intron	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	797413	797432	20	-	10.6674260087894	MA0066.1	exon	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	764176	764189	14	-	10.3131985644183	MA0069.1	intron	Shank3	Pax6	PAX6	paired box 6	Homo sapiens
chr10	791605	791618	14	-	13.2825308654725	MA0069.1	intron	Shank3	Pax6	PAX6	paired box 6	Homo sapiens
chr10	780654	780665	12	-	10.4941882015687	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr10	780707	780718	12	-	10.4941882015687	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr10	793537	793546	10	+	11.7126565831503	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	762657	762666	10	-	11.5803400372329	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	779334	779343	10	-	11.9632837013856	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	780395	780404	10	-	11.7459966130067	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	781621	781630	10	-	12.7462408768422	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	783608	783617	10	-	12.5202688263236	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	802144	802153	10	-	11.9531391016986	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	783607	783620	14	-	10.4506759427822	MA0072.1	intron	Shank3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	802143	802156	14	-	14.3551705919271	MA0072.1	intron	Shank3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	750055	750074	20	-	14.6564554034095	MA0073.1	exon	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	776675	776694	20	-	14.8917411951125	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	780254	780273	20	-	17.8046717564161	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	780725	780744	20	-	19.3785593208429	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	781667	781686	20	-	15.1659818825707	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	781670	781689	20	-	15.7955322470839	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	757110	757124	15	-	9.95627789514176	MA0074.1	intron	Shank3	RXRA::VDR	-	-	Homo sapiens
chr10	766552	766566	15	-	12.992483035346	MA0074.1	intron	Shank3	RXRA::VDR	-	-	Homo sapiens
chr10	773180	773194	15	-	12.2503231050942	MA0074.1	intron	Shank3	RXRA::VDR	-	-	Homo sapiens
chr10	798799	798813	15	-	11.0609806498247	MA0074.1	intron	Shank3	RXRA::VDR	-	-	Homo sapiens
chr10	800233	800247	15	-	13.3333486178353	MA0074.1	intron	Shank3	RXRA::VDR	-	-	Homo sapiens
chr10	755925	755936	12	-	11.2043498850209	MA0091.1	intron	Shank3	TAL1::TCF3	-	-	Homo sapiens
chr10	765827	765838	12	-	11.4206290337818	MA0091.1	intron	Shank3	TAL1::TCF3	-	-	Homo sapiens
chr10	783354	783365	12	-	16.2599168501548	MA0091.1	intron	Shank3	TAL1::TCF3	-	-	Homo sapiens
chr10	788139	788150	12	-	13.1227539966774	MA0091.1	exon	Shank3	TAL1::TCF3	-	-	Homo sapiens
chr10	791372	791383	12	-	11.2082674047304	MA0091.1	intron	Shank3	TAL1::TCF3	-	-	Homo sapiens
chr10	798563	798574	12	-	11.7872447295678	MA0091.1	intron	Shank3	TAL1::TCF3	-	-	Homo sapiens
chr10	795847	795856	10	+	11.805607867949	MA0101.1	intron	Shank3	REL	REL	v-rel avian reticuloendotheliosis viral oncogene homolog	Homo sapiens
chr10	756066	756075	10	-	12.7336422155444	MA0101.1	intron	Shank3	REL	REL	v-rel avian reticuloendotheliosis viral oncogene homolog	Homo sapiens
