seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr2	158613788	158613807	20	+	9.71071790034245	MA0066.1	intron	slc32a1	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr2	158611699	158611718	20	+	13.847353755736	MA0073.1	intron	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615032	158615051	20	+	15.2862031202139	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615034	158615053	20	+	13.1399004282238	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615060	158615079	20	+	18.6346651199734	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615062	158615081	20	+	12.6877317632448	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615064	158615083	20	+	13.0155902766684	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615293	158615312	20	+	16.6114098122955	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615295	158615314	20	+	14.2625246480216	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158612663	158612677	15	+	10.1121968865276	MA0074.1	intron	slc32a1	RXRA::VDR	-	-	Homo sapiens
chr2	158613552	158613563	12	+	11.471749078104	MA0091.1	intron	slc32a1	TAL1::TCF3	-	-	Homo sapiens
chr2	158611928	158611945	18	+	-4.02752540502821	MA0149.1	intron	slc32a1	EWSR1-FLI1	-	-	Homo sapiens
chr2	158612029	158612046	18	+	-6.32503571890502	MA0149.1	intron	slc32a1	EWSR1-FLI1	-	-	Homo sapiens
chr2	158615340	158615357	18	+	-5.11516372518627	MA0149.1	exon	slc32a1	EWSR1-FLI1	-	-	Homo sapiens
chr2	158612657	158612668	12	+	13.8044591165358	MA0155.1	intron	slc32a1	INSM1	INSM1	insulinoma-associated 1	Homo sapiens
chr2	158611876	158611892	17	+	11.1763216528476	MA0159.1	intron	slc32a1	RARA::RXRA	-	-	Homo sapiens
chr2	158611932	158611942	11	+	13.3425201118654	MA0471.1	intron	slc32a1	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr2	158615163	158615173	11	+	14.194019743865	MA0471.1	exon	slc32a1	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr2	158615243	158615253	11	+	13.0626809530079	MA0471.1	exon	slc32a1	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr2	158615339	158615349	11	+	12.3428195136671	MA0471.1	exon	slc32a1	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr2	158615348	158615358	11	+	13.8547157036719	MA0471.1	exon	slc32a1	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr2	158611559	158611573	15	+	13.5659286470984	MA0504.1	exon	slc32a1	NR2C2	NR2C2	nuclear receptor subfamily 2,group C,member 2	Homo sapiens
chr2	158612545	158612557	13	+	13.0698912074374	MA0513.1	intron	slc32a1	SMAD2::SMAD3::SMAD4	-	-	Homo sapiens
chr2	158613093	158613107	15	+	16.8838604195073	MA0516.1	intron	slc32a1	SP2	SP2	Sp2 transcription factor	Homo sapiens
