seqnames	start	end	width	strand	type	gene_name
chr15	89499623	89499919	296	+	exon	Shank3
chr15	89499920	89500214	295	+	intron	Shank3
chr15	89500215	89500418	203	+	exon	Shank3
chr15	89500419	89501403	985	+	intron	Shank3
chr15	89501404	89501475	71	+	exon	Shank3
chr15	89501476	89503119	1644	+	intron	Shank3
chr15	89503120	89503228	108	+	exon	Shank3
chr15	89503229	89503302	74	+	intron	Shank3
chr15	89503303	89503454	151	+	exon	Shank3
chr15	89503455	89503539	85	+	intron	Shank3
chr15	89503540	89503707	167	+	exon	Shank3
chr15	89503708	89503796	89	+	intron	Shank3
chr15	89503797	89503913	116	+	exon	Shank3
chr15	89503914	89504316	403	+	intron	Shank3
chr15	89504317	89504394	77	+	exon	Shank3
chr15	89504395	89505389	995	+	intron	Shank3
chr15	89505390	89505456	66	+	exon	Shank3
chr15	89505457	89521102	15646	+	intron	Shank3
chr15	89521103	89521373	270	+	exon	Shank3
chr15	89520096	89522974	2878	-	exon	Shank3
chr15	89522975	89523596	622	-	intron	Shank3
chr15	89523597	89523677	80	-	exon	Shank3
chr15	89523678	89524025	348	-	intron	Shank3
chr15	89524026	89524219	193	+	exon	Shank3
chr15	89523761	89524219	458	+	exon	Shank3
chr15	89524220	89525159	940	+	intron	Shank3
chr15	89525160	89525273	113	+	exon	Shank3
chr15	89525274	89531342	6069	+	intron	Shank3
chr15	89531343	89531418	75	+	exon	Shank3
chr15	89531419	89531625	207	+	intron	Shank3
chr15	89531626	89531708	82	+	exon	Shank3
chr15	89531709	89532094	386	+	intron	Shank3
chr15	89532095	89532219	124	+	exon	Shank3
chr15	89532220	89532328	109	+	intron	Shank3
chr15	89532329	89532461	132	+	exon	Shank3
chr15	89532462	89533373	912	+	intron	Shank3
chr15	89533374	89533454	80	+	exon	Shank3
chr15	89533455	89538014	4560	+	intron	Shank3
chr15	89538015	89538038	23	+	exon	Shank3
chr15	89538039	89543099	5061	+	intron	Shank3
chr15	89543100	89543230	130	+	exon	Shank3
chr15	89543231	89543793	563	+	intron	Shank3
chr15	89543794	89543878	84	+	exon	Shank3
chr15	89543879	89547625	3747	+	intron	Shank3
chr15	89547626	89549882	2256	+	exon	Shank3
chr15	89549883	89556701	6819	+	intron	Shank3
chr15	89556702	89556748	46	+	exon	Shank3
chr15	89556749	89557734	986	+	intron	Shank3
chr15	89557735	89557760	25	+	exon	Shank3
chr15	89557735	89560261	2526	+	exon	Shank3
