V1	V4	V5	(.$V5 - .$V4)	V7	V3	rep(gene, nrow(gene_features))
chr6	49822710	49822801	91	+	exon	npy
chr6	49822802	49823597	796	+	intron	npy
chr6	49823598	49823600	2	+	start_codon	npy
chr6	49823598	49823785	187	+	CDS	npy
chr6	49823598	49823785	187	+	exon	npy
chr6	49823786	49827488	3703	+	intron	npy
chr6	49827489	49827569	80	+	CDS	npy
chr6	49827489	49827569	80	+	exon	npy
chr6	49827570	49829302	1733	+	intron	npy
chr6	49829303	49829324	21	+	CDS	npy
chr6	49829325	49829327	2	+	stop_codon	npy
chr6	49829303	49829507	204	+	exon	npy
