seqnames	start	end	width	strand	overlap_count
chr16	23889581	23889590	10	*	0
chr16	23889591	23889600	10	*	1
chr16	23889601	23889610	10	*	1
chr16	23889611	23889620	10	*	0
chr16	23889621	23889630	10	*	0
chr16	23889631	23889640	10	*	0
chr16	23889641	23889650	10	*	0
chr16	23889651	23889660	10	*	0
chr16	23889661	23889670	10	*	0
chr16	23889671	23889680	10	*	0
chr16	23889681	23889690	10	*	0
chr16	23889691	23889700	10	*	0
chr16	23889701	23889710	10	*	0
chr16	23889711	23889720	10	*	0
chr16	23889721	23889730	10	*	0
chr16	23889731	23889740	10	*	0
chr16	23889741	23889750	10	*	0
chr16	23889751	23889760	10	*	0
chr16	23889761	23889770	10	*	0
chr16	23889771	23889780	10	*	0
chr16	23889781	23889790	10	*	0
chr16	23889791	23889800	10	*	0
chr16	23889801	23889810	10	*	0
chr16	23889811	23889820	10	*	0
chr16	23889821	23889830	10	*	0
chr16	23889831	23889840	10	*	0
chr16	23889841	23889850	10	*	0
chr16	23889851	23889860	10	*	3
chr16	23889861	23889870	10	*	3
chr16	23889871	23889880	10	*	0
chr16	23889881	23889890	10	*	0
chr16	23889891	23889900	10	*	0
chr16	23889901	23889910	10	*	0
chr16	23889911	23889920	10	*	1
chr16	23889921	23889930	10	*	1
chr16	23889931	23889940	10	*	0
chr16	23889941	23889950	10	*	0
chr16	23889951	23889960	10	*	2
chr16	23889961	23889970	10	*	2
chr16	23889971	23889980	10	*	0
chr16	23889981	23889990	10	*	0
chr16	23889991	23890000	10	*	1
chr16	23890001	23890010	10	*	1
chr16	23890011	23890020	10	*	0
chr16	23890021	23890030	10	*	0
chr16	23890031	23890040	10	*	0
chr16	23890041	23890050	10	*	0
chr16	23890051	23890060	10	*	0
chr16	23890061	23890070	10	*	1
chr16	23890071	23890080	10	*	1
chr16	23890081	23890090	10	*	0
chr16	23890091	23890100	10	*	0
chr16	23890101	23890110	10	*	0
chr16	23890111	23890120	10	*	0
chr16	23890121	23890130	10	*	0
chr16	23890131	23890140	10	*	0
chr16	23890141	23890150	10	*	0
chr16	23890151	23890160	10	*	1
chr16	23890161	23890170	10	*	1
chr16	23890171	23890180	10	*	0
chr16	23890181	23890190	10	*	0
chr16	23890191	23890200	10	*	0
chr16	23890201	23890210	10	*	0
chr16	23890211	23890220	10	*	0
chr16	23890221	23890230	10	*	0
chr16	23890231	23890240	10	*	0
chr16	23890241	23890250	10	*	0
chr16	23890251	23890260	10	*	0
chr16	23890261	23890270	10	*	0
chr16	23890271	23890280	10	*	2
chr16	23890281	23890290	10	*	2
chr16	23890291	23890300	10	*	0
chr16	23890301	23890310	10	*	0
chr16	23890311	23890320	10	*	0
chr16	23890321	23890330	10	*	0
chr16	23890331	23890340	10	*	0
chr16	23890341	23890350	10	*	2
chr16	23890351	23890360	10	*	2
chr16	23890361	23890370	10	*	0
chr16	23890371	23890380	10	*	0
chr16	23890381	23890390	10	*	0
chr16	23890391	23890400	10	*	0
chr16	23890401	23890410	10	*	1
chr16	23890411	23890420	10	*	1
chr16	23890421	23890430	10	*	0
chr16	23890431	23890440	10	*	0
chr16	23890441	23890450	10	*	0
chr16	23890451	23890460	10	*	0
chr16	23890461	23890470	10	*	0
chr16	23890471	23890480	10	*	0
chr16	23890481	23890490	10	*	0
chr16	23890491	23890500	10	*	1
chr16	23890501	23890510	10	*	1
chr16	23890511	23890520	10	*	0
chr16	23890521	23890530	10	*	0
chr16	23890531	23890540	10	*	0
chr16	23890541	23890550	10	*	4
chr16	23890551	23890560	10	*	4
chr16	23890561	23890570	10	*	0
chr16	23890571	23890580	10	*	0
chr16	23890581	23890590	10	*	0
chr16	23890591	23890600	10	*	0
chr16	23890601	23890610	10	*	0
chr16	23890611	23890620	10	*	0
chr16	23890621	23890630	10	*	0
chr16	23890631	23890640	10	*	1
chr16	23890641	23890650	10	*	1
chr16	23890651	23890660	10	*	0
chr16	23890661	23890670	10	*	0
chr16	23890671	23890680	10	*	0
chr16	23890681	23890690	10	*	0
chr16	23890691	23890700	10	*	0
chr16	23890701	23890710	10	*	0
chr16	23890711	23890720	10	*	0
chr16	23890721	23890730	10	*	0
chr16	23890731	23890740	10	*	0
chr16	23890741	23890750	10	*	0
chr16	23890751	23890760	10	*	3
chr16	23890761	23890770	10	*	3
chr16	23890771	23890780	10	*	0
chr16	23890781	23890790	10	*	1
chr16	23890791	23890800	10	*	1
chr16	23890801	23890810	10	*	0
chr16	23890811	23890820	10	*	0
chr16	23890821	23890830	10	*	0
chr16	23890831	23890840	10	*	0
chr16	23890841	23890844	4	*	0
