V1	V4	V5	(.$V5 - .$V4)	V7	V3	rep(gene, nrow(gene_features))
chr10	5639193	5639370	177	+	exon	vip
chr10	5639218	5639370	152	+	exon	vip
chr10	5639371	5640627	1257	+	intron	vip
chr10	5640628	5640630	2	+	start_codon	vip
chr10	5640628	5640734	106	+	CDS	vip
chr10	5640618	5640734	116	+	exon	vip
chr10	5640735	5642471	1737	+	intron	vip
chr10	5642472	5642594	122	+	CDS	vip
chr10	5642472	5642594	122	+	exon	vip
chr10	5642469	5642594	125	+	CDS	vip
chr10	5642469	5642594	125	+	exon	vip
chr10	5642595	5643522	928	+	intron	vip
chr10	5643523	5643627	104	+	CDS	vip
chr10	5643523	5643627	104	+	exon	vip
chr10	5643628	5643989	362	+	intron	vip
chr10	5643990	5644118	128	+	CDS	vip
chr10	5643990	5644118	128	+	exon	vip
chr10	5643987	5644118	131	+	CDS	vip
chr10	5643987	5644118	131	+	exon	vip
chr10	5644119	5644909	791	+	intron	vip
chr10	5644910	5644952	42	+	CDS	vip
chr10	5644913	5644952	39	+	CDS	vip
chr10	5644953	5644955	2	+	stop_codon	vip
chr10	5644910	5644990	80	+	exon	vip
chr10	5644913	5644990	77	+	exon	vip
chr10	5644991	5646801	1811	+	intron	vip
chr10	5646802	5647617	815	+	exon	vip
