seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr10	759197	759216	20	-	11.9340382715879	MA0066.1	CDS	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	797413	797432	20	-	10.6935096759794	MA0066.1	CDS	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	788139	788150	12	-	13.1361071524601	MA0091.1	CDS	Shank3	TAL1::TCF3	-	-	Homo sapiens
chr10	788192	788210	19	-	15.290834497325	MA0139.1	CDS	Shank3	CTCF	CTCF	CCCTC-binding factor (zinc finger protein)	Homo sapiens
chr10	750539	750550	12	-	14.6933227424527	MA0155.1	exon	Shank3	INSM1	INSM1	insulinoma-associated 1	Homo sapiens
chr10	750518	750531	14	-	12.9488324581541	MA0163.1	exon	Shank3	PLAG1	PLAG1	pleiomorphic adenoma gene 1	Homo sapiens
chr10	798498	798511	14	-	16.9529200232346	MA0163.1	CDS	Shank3	PLAG1	PLAG1	pleiomorphic adenoma gene 1	Homo sapiens
chr10	798929	798942	14	-	12.9785140315103	MA0163.1	CDS	Shank3	PLAG1	PLAG1	pleiomorphic adenoma gene 1	Homo sapiens
chr10	784071	784081	11	-	14.2612054285226	MA0471.1	CDS	Shank3	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr10	784005	784019	15	-	10.5897060317944	MA0501.1	CDS	Shank3	MAF::NFE2	-	-	Homo sapiens
chr10	799587	799601	15	-	8.74468430779381	MA0501.1	CDS	Shank3	MAF::NFE2	-	-	Homo sapiens
chr10	761034	761048	15	-	18.1207263055203	MA0516.1	CDS	Shank3	SP2	SP2	Sp2 transcription factor	Homo sapiens
chr10	760528	760542	15	-	13.7277284531251	MA0527.1	CDS	Shank3	ZBTB33	ZBTB33	zinc finger and BTB domain containing 33	Homo sapiens
chr10	760588	760608	21	-	14.8837198894314	MA0528.1	CDS	Shank3	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr10	760600	760620	21	-	13.0470009928328	MA0528.1	CDS	Shank3	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr10	784012	784032	21	-	12.5647966073691	MA0528.1	CDS	Shank3	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr10	797416	797430	15	-	15.9959347991448	MA0258.2	CDS	Shank3	ESR2	ESR2	estrogen receptor 2 (ER beta)	Homo sapiens
chr10	788296	788306	11	-	10.7142862593197	MA0137.3	CDS	Shank3	STAT1	STAT1	signal transducer and activator of transcription 1,91kDa	Homo sapiens
chr10	759925	759934	10	-	13.21733662583	MA0645.1	CDS	Shank3	ETV6			Homo sapiens
chr10	798968	798977	10	-	14.8813136100985	MA0649.1	CDS	Shank3	HEY2			Homo sapiens
chr10	778299	778310	12	-	6.79393363863404	MA0656.1	CDS	Shank3	JDP2(var.2)			Homo sapiens
chr10	803758	803775	18	-	10.9927275472497	MA0657.1	CDS	Shank3	KLF13			Homo sapiens
chr10	784005	784025	21	-	9.8461673115045	MA0659.1	CDS	Shank3	MAFG			Homo sapiens
chr10	788139	788148	10	-	13.2082623010585	MA0665.1	CDS	Shank3	MSC			Homo sapiens
chr10	750216	750225	10	-	13.8977707531011	MA0048.2	exon	Shank3	NHLH1			Homo sapiens
chr10	760609	760618	10	-	13.3070624847255	MA0048.2	CDS	Shank3	NHLH1			Homo sapiens
chr10	759760	759776	17	-	10.637192444138	MA0685.1	CDS	Shank3	SP4			Homo sapiens
chr10	803760	803776	17	-	15.161088327421	MA0685.1	CDS	Shank3	SP4			Homo sapiens
chr10	785202	785213	12	-	14.597045701068	MA0694.1	CDS	Shank3	ZBTB7B			Homo sapiens
chr10	799143	799154	12	-	15.9241136165743	MA0694.1	CDS	Shank3	ZBTB7B			Homo sapiens
chr10	799143	799154	12	-	16.1091345325642	MA0695.1	CDS	Shank3	ZBTB7C			Homo sapiens
chr10	797415	797431	17	-	6.37056891540935	MA0112.3	CDS	Shank3	ESR1			Homo sapiens
chr10	797421	797433	13	-	13.0054318068068	MA0017.2	CDS	Shank3	NR2F1			Homo sapiens
chr10	777706	777716	11	-	17.8582271254886	MA0472.2	CDS	Shank3	EGR2			Homo sapiens
chr10	760952	760966	15	-	13.5286491975856	MA0732.1	CDS	Shank3	EGR3			Homo sapiens
chr10	761003	761017	15	-	13.1263436013001	MA0732.1	CDS	Shank3	EGR3			Homo sapiens
chr10	761033	761047	15	-	14.5887802767655	MA0732.1	CDS	Shank3	EGR3			Homo sapiens
chr10	777704	777718	15	-	16.8791815517906	MA0732.1	CDS	Shank3	EGR3			Homo sapiens
chr10	761002	761017	16	-	15.8376779298216	MA0733.1	CDS	Shank3	EGR4			Homo sapiens
chr10	761032	761047	16	-	14.3306140329373	MA0733.1	CDS	Shank3	EGR4			Homo sapiens
chr10	777703	777718	16	-	17.9894713415589	MA0733.1	CDS	Shank3	EGR4			Homo sapiens
chr10	799160	799171	12	-	14.381175250221	MA0734.1	CDS	Shank3	GLI2			Homo sapiens
chr10	759485	759500	16	-	1.93862508969386	MA0735.1	CDS	Shank3	GLIS1			Homo sapiens
chr10	803761	803774	14	-	15.7160122667271	MA0740.1	CDS	Shank3	KLF14			Homo sapiens
chr10	803763	803773	11	-	16.1954941781816	MA0741.1	CDS	Shank3	KLF16			Homo sapiens
chr10	798913	798928	16	-	10.8918072678328	MA0088.2	CDS	Shank3	ZNF143			Homo sapiens
chr10	785173	785183	11	-	12.1143964817914	MA0762.1	CDS	Shank3	ETV2			Homo sapiens
chr10	765553	765565	13	-	11.1144460918154	MA0105.4	CDS	Shank3	NFKB1			Homo sapiens
chr10	788290	788302	13	-	11.9487707715596	MA0105.4	CDS	Shank3	NFKB1			Homo sapiens
chr10	788290	788302	13	-	15.0648649269424	MA0778.1	CDS	Shank3	NFKB2			Homo sapiens
chr10	759717	759728	12	-	14.5760304980453	MA0810.1	CDS	Shank3	TFAP2A(var.2)			Homo sapiens
chr10	785186	785197	12	-	15.1154360659427	MA0810.1	CDS	Shank3	TFAP2A(var.2)			Homo sapiens
chr10	750349	750359	11	-	14.1437863481776	MA0003.3	exon	Shank3	TFAP2A			Homo sapiens
chr10	760974	760984	11	-	14.1437863481776	MA0003.3	CDS	Shank3	TFAP2A			Homo sapiens
chr10	785186	785197	12	-	14.1000568666575	MA0811.1	CDS	Shank3	TFAP2B			Homo sapiens
chr10	750652	750664	13	-	16.4882080556714	MA0813.1	exon	Shank3	TFAP2B(var.3)			Homo sapiens
