seqnames	start	end	width	strand	overlap_count
chr15	78191117	78191616	500	*	32
chr15	78191617	78192116	500	*	20
chr15	78192117	78192616	500	*	10
chr15	78192617	78193116	500	*	24
chr15	78193117	78193616	500	*	23
chr15	78193617	78194116	500	*	18
chr15	78194117	78194616	500	*	27
chr15	78194617	78195116	500	*	33
chr15	78195117	78195616	500	*	13
chr15	78195617	78196116	500	*	14
chr15	78196117	78196616	500	*	9
chr15	78196617	78197116	500	*	27
chr15	78197117	78197616	500	*	40
chr15	78197617	78198116	500	*	6
chr15	78198117	78198616	500	*	11
chr15	78198617	78199116	500	*	85
chr15	78199117	78199616	500	*	23
chr15	78199617	78200116	500	*	21
chr15	78200117	78200616	500	*	16
chr15	78200617	78201116	500	*	42
chr15	78201117	78201616	500	*	25
chr15	78201617	78202116	500	*	12
chr15	78202117	78202616	500	*	19
chr15	78202617	78203116	500	*	15
chr15	78203117	78203616	500	*	18
chr15	78203617	78204116	500	*	13
chr15	78204117	78204616	500	*	7
chr15	78204617	78205116	500	*	9
chr15	78205117	78205616	500	*	53
chr15	78205617	78206116	500	*	12
chr15	78206117	78206351	235	*	15
