seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr10	5646917	5646927	11	+	17.9522915684501	MA0025.1	exon	vip	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr10	5645558	5645575	18	+	12.9982591332394	MA0051.1	intron	vip	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr10	5644119	5644128	10	+	11.5231400291979	MA0057.1	intron	vip	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	5646819	5646829	11	+	13.0827653648317	MA0059.1	exon	vip	MAX::MYC	-	-	Homo sapiens
chr10	5641290	5641309	20	+	9.33911132233452	MA0066.1	intron	vip	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	5642500	5642519	20	+	10.7562810481077	MA0066.1	CDS	vip	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	5643417	5643430	14	+	15.8348497502132	MA0069.1	intron	vip	Pax6	PAX6	paired box 6	Homo sapiens
chr10	5640188	5640199	12	+	15.7558940917705	MA0070.1	intron	vip	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr10	5640163	5640176	14	+	12.5329854991895	MA0072.1	intron	vip	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	5641677	5641696	20	+	10.8506105667837	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641679	5641698	20	+	10.8506105667837	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641681	5641700	20	+	10.8506105667837	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641683	5641702	20	+	10.8506105667837	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641685	5641704	20	+	10.8506105667837	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641687	5641706	20	+	10.8506105667837	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
