seqnames	start	end	width	strand	type	gene_name
chr12	116077728	116077893	165	+	exon	vipr2
chr12	116077894	116080032	2139	+	intron	vipr2
chr12	116080033	116080132	99	+	exon	vipr2
chr12	116080133	116092644	12512	+	intron	vipr2
chr12	116092645	116092752	107	+	exon	vipr2
chr12	116092753	116094720	1968	+	intron	vipr2
chr12	116094721	116094818	97	+	exon	vipr2
chr12	116094819	116102791	7973	+	intron	vipr2
chr12	116102792	116103071	279	-	exon	vipr2
chr12	116102769	116103586	817	-	exon	vipr2
chr12	116103476	116103586	110	-	exon	vipr2
chr12	116103587	116109643	6057	-	intron	vipr2
chr12	116109644	116110034	390	-	exon	vipr2
chr12	116110035	116110325	291	-	intron	vipr2
chr12	116110326	116110488	162	-	exon	vipr2
chr12	116110489	116110570	82	-	intron	vipr2
chr12	116110571	116111524	953	-	exon	vipr2
chr12	116111525	116112731	1207	-	intron	vipr2
chr12	116112732	116112929	197	-	exon	vipr2
chr12	116112930	116122710	9781	-	intron	vipr2
chr12	116122711	116122808	97	+	exon	vipr2
chr12	116122809	116130100	7292	+	intron	vipr2
chr12	116130101	116130242	141	+	exon	vipr2
chr12	116130243	116136108	5866	+	intron	vipr2
chr12	116136109	116136259	150	+	exon	vipr2
chr12	116136260	116137312	1053	+	intron	vipr2
chr12	116137313	116137373	60	+	exon	vipr2
chr12	116137374	116138404	1031	+	intron	vipr2
chr12	116138405	116138521	116	-	exon	vipr2
chr12	116138405	116138648	243	-	exon	vipr2
chr12	116138649	116138674	26	-	intron	vipr2
chr12	116138675	116138744	69	+	exon	vipr2
chr12	116138745	116139147	403	+	intron	vipr2
chr12	116139148	116139239	91	+	exon	vipr2
chr12	116139240	116142753	3514	+	intron	vipr2
chr12	116142754	116142883	129	+	exon	vipr2
chr12	116142884	116142949	66	+	intron	vipr2
chr12	116142950	116142991	41	+	exon	vipr2
chr12	116142992	116144136	1145	+	intron	vipr2
chr12	116144137	116146261	2124	+	exon	vipr2
