seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr15	89528433	89528443	11	+	11.3638373832525	MA0025.1	intron	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89560234	89560244	11	+	14.8961359427805	MA0025.1	exon	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89512400	89512410	11	-	11.2733966700965	MA0025.1	intron	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89530413	89530426	14	+	11.0221890273714	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89510145	89510158	14	-	10.1377109908327	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89537569	89537586	18	+	10.5133196407285	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89558753	89558770	18	+	9.17500701187702	MA0051.1	exon	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89510788	89510805	18	-	12.9508858233347	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89517471	89517488	18	-	9.50958221405282	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89517932	89517949	18	-	10.1969594331255	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89519125	89519142	18	-	8.12497621914295	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89501666	89501675	10	+	11.495153032308	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89524650	89524659	10	+	12.341213824326	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89525027	89525036	10	+	11.5499609486895	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89527591	89527600	10	+	12.4032740511563	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89531491	89531500	10	+	11.6683457475842	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89533609	89533618	10	+	11.5921630271579	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89536860	89536869	10	+	12.6705214495789	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89547093	89547102	10	+	11.7018491929191	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89547206	89547215	10	+	11.5921630271579	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89554147	89554156	10	+	12.7181473885097	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89556228	89556237	10	+	12.6990782310744	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89558676	89558685	10	+	12.4032740511563	MA0057.1	exon	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89529930	89529940	11	+	11.3753850246519	MA0059.1	intron	Shank3	MAX::MYC	-	-	Homo sapiens
chr15	89551217	89551227	11	+	12.2948563554192	MA0059.1	intron	Shank3	MAX::MYC	-	-	Homo sapiens
chr15	89519010	89519020	11	-	12.6326025823672	MA0059.1	intron	Shank3	MAX::MYC	-	-	Homo sapiens
chr15	89502147	89502166	20	+	13.88622422401	MA0066.1	intron	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89506119	89506138	20	+	12.5399599532087	MA0066.1	intron	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89528182	89528201	20	+	14.1933185923046	MA0066.1	intron	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89537242	89537261	20	+	9.83368595539853	MA0066.1	intron	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89549547	89549566	20	+	11.2044959798913	MA0066.1	exon	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89559081	89559100	20	+	12.4403719962138	MA0066.1	exon	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89559626	89559645	20	+	9.8996840203016	MA0066.1	exon	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89509720	89509733	14	+	11.7915225407578	MA0069.1	intron	Shank3	Pax6	PAX6	paired box 6	Homo sapiens
chr15	89500276	89500287	12	+	12.9137602676033	MA0070.1	exon	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89507355	89507366	12	+	16.922738266105	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89507359	89507370	12	+	15.6529329022937	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89507363	89507374	12	+	15.6529329022937	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89507367	89507378	12	+	15.6529329022937	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89507371	89507382	12	+	15.6529329022937	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89507375	89507386	12	+	15.6529329022937	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89507379	89507390	12	+	15.6529329022937	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89507383	89507394	12	+	15.6529329022937	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89507387	89507398	12	+	12.570967789054	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89551618	89551629	12	+	10.1147186257782	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89554799	89554810	12	+	11.2914545917369	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89512933	89512944	12	-	11.016571752139	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89506409	89506418	10	+	13.5355187148489	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
