seqnames	start	end	width	strand	type	gene_name
chr22	50627461	50674414	46954	+	Promoter	SHANK3
chr22	50674415	50674704	290	+	exon	SHANK3
chr22	50674415	50674641	227	+	UTR	SHANK3
chr22	50674642	50674704	63	+	exon	SHANK3
chr22	50674705	50674891	187	+	intron	SHANK3
chr22	50674892	50675251	360	+	exon	SHANK3
chr22	50674892	50675251	360	+	UTR	SHANK3
chr22	50675048	50675251	204	+	exon	SHANK3
chr22	50675252	50676621	1370	+	intron	SHANK3
chr22	50676622	50676693	72	+	exon	SHANK3
chr22	50676622	50676693	72	+	UTR	SHANK3
chr22	50676694	50678584	1891	+	intron	SHANK3
chr22	50678585	50678693	109	+	exon	SHANK3
chr22	50678585	50678602	18	+	UTR	SHANK3
chr22	50678603	50678768	166	+	intron	SHANK3
chr22	50678769	50678920	152	+	exon	SHANK3
chr22	50678921	50679018	98	+	intron	SHANK3
chr22	50679019	50679186	168	+	exon	SHANK3
chr22	50679187	50679311	125	+	intron	SHANK3
chr22	50679312	50679428	117	+	exon	SHANK3
chr22	50679429	50683339	3911	+	intron	SHANK3
chr22	50683340	50683417	78	+	exon	SHANK3
chr22	50683418	50684584	1167	+	intron	SHANK3
chr22	50684585	50684651	67	+	exon	SHANK3
chr22	50684652	50694774	10123	+	intron	SHANK3
chr22	50694775	50695048	274	+	exon	SHANK3
chr22	50694775	50695049	275	+	exon	SHANK3
chr22	50695050	50695052	3	+	intron	SHANK3
chr22	50695053	50695072	20	+	exon	SHANK3
chr22	50695073	50697563	2491	+	intron	SHANK3
chr22	50697564	50697715	152	+	exon	SHANK3
chr22	50697716	50697998	283	+	intron	SHANK3
chr22	50697999	50698122	124	+	exon	SHANK3
chr22	50697999	50698342	344	+	exon	SHANK3
chr22	50697999	50698803	805	+	exon	SHANK3
chr22	50698144	50698342	199	+	exon	SHANK3
chr22	50698254	50698342	89	+	UTR	SHANK3
chr22	50698343	50698689	347	+	intron	SHANK3
chr22	50698690	50698803	114	+	exon	SHANK3
chr22	50698690	50698803	114	+	UTR	SHANK3
chr22	50698804	50703859	5056	+	intron	SHANK3
chr22	50703860	50703935	76	+	exon	SHANK3
chr22	50703860	50703919	60	+	exon	SHANK3
chr22	50703860	50703919	60	+	UTR	SHANK3
chr22	50703860	50703918	59	+	exon	SHANK3
chr22	50703919	50704165	247	+	intron	SHANK3
chr22	50704166	50704248	83	+	exon	SHANK3
chr22	50704249	50704737	489	+	intron	SHANK3
chr22	50704738	50704862	125	+	exon	SHANK3
chr22	50704863	50704963	101	+	intron	SHANK3
chr22	50704964	50705096	133	+	exon	SHANK3
chr22	50705097	50705375	279	+	intron	SHANK3
chr22	50705376	50706152	777	+	exon	SHANK3
chr22	50705441	50706152	712	+	UTR	SHANK3
chr22	50705496	50706152	657	+	exon	SHANK3
chr22	50705496	50705899	404	+	UTR	SHANK3
chr22	50705900	50706071	172	+	intron	SHANK3
chr22	50706072	50706152	81	+	exon	SHANK3
chr22	50706153	50711614	5462	+	intron	SHANK3
chr22	50711615	50711638	24	+	exon	SHANK3
chr22	50711615	50711638	24	+	UTR	SHANK3
chr22	50711639	50714916	3278	+	intron	SHANK3
chr22	50714917	50715047	131	+	exon	SHANK3
chr22	50714917	50715047	131	+	UTR	SHANK3
chr22	50715048	50715668	621	+	intron	SHANK3
chr22	50715669	50715753	85	+	exon	SHANK3
chr22	50715669	50715753	85	+	UTR	SHANK3
chr22	50715754	50720183	4430	+	intron	SHANK3
chr22	50720184	50722437	2254	+	exon	SHANK3
chr22	50720184	50722437	2254	+	UTR	SHANK3
chr22	50722438	50724126	1689	+	intron	SHANK3
chr22	50724127	50724153	27	+	exon	SHANK3
chr22	50724127	50724153	27	+	UTR	SHANK3
chr22	50724154	50729571	5418	+	intron	SHANK3
chr22	50729572	50729707	136	+	exon	SHANK3
chr22	50729572	50729660	89	+	UTR	SHANK3
chr22	50729661	50730720	1060	+	intron	SHANK3
chr22	50730721	50733298	2578	+	exon	SHANK3
chr22	50730721	50733298	2578	+	UTR	SHANK3
chr22	50730721	50731312	592	+	exon	SHANK3
chr22	50730721	50731518	798	+	exon	SHANK3
chr22	50731310	50731312	3	+	UTR	SHANK3
chr22	50731310	50733298	1989	+	UTR	SHANK3
chr22	50731310	50731518	209	+	UTR	SHANK3
chr22	50731519	50733298	1780	+	intron	SHANK3
chr22	50733299	50743298	10000	+	intron	SHANK3
