chr15	mm9_refGene	start_codon	89330063	89330065	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89330063	89330350	0.000000	+	0	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89330039	89330350	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89330646	89330849	0.000000	+	0	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89330646	89330849	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89331835	89331906	0.000000	+	0	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89331835	89331906	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89333551	89333659	0.000000	+	0	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89333551	89333659	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89333734	89333885	0.000000	+	2	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89333734	89333885	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89333971	89334138	0.000000	+	0	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89333971	89334138	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89334228	89334344	0.000000	+	0	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89334228	89334344	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89334748	89334825	0.000000	+	0	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89334748	89334825	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89335821	89335887	0.000000	+	0	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89335821	89335887	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89351534	89351804	0.000000	+	2	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89351534	89351804	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89354457	89354650	0.000000	+	1	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89354457	89354650	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89355591	89355704	0.000000	+	2	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89355591	89355704	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89361774	89361849	0.000000	+	2	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89361774	89361849	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89362057	89362139	0.000000	+	1	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89362057	89362139	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89362526	89362650	0.000000	+	2	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89362526	89362650	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89362760	89362892	0.000000	+	0	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89362760	89362892	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89363805	89363885	0.000000	+	2	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89363805	89363885	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89368446	89368469	0.000000	+	2	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89368446	89368469	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89373531	89373661	0.000000	+	2	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89373531	89373661	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89374225	89374309	0.000000	+	0	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89374225	89374309	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89378057	89380313	0.000000	+	2	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89378057	89380313	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	CDS	89388166	89388751	0.000000	+	1	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	stop_codon	89388752	89388754	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
chr15	mm9_refGene	exon	89388166	89390691	0.000000	+	.	gene_id "NM_021423"; transcript_id "NM_021423"; 
