seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr15	89358864	89358874	11	+	11.3485161658141	MA0025.1	intron	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89390665	89390675	11	+	14.8829022737871	MA0025.1	exon	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89360844	89360857	14	+	11.0119434202499	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89340884	89340901	18	+	12.7282242132119	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89348723	89348740	18	+	8.87625205858995	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89368000	89368017	18	+	10.5092288832258	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89389184	89389201	18	+	9.16720504522632	MA0051.1	exon	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89332097	89332106	10	+	11.4942044198695	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89343720	89343729	10	+	11.7075203144005	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89355081	89355090	10	+	12.3404437561799	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89355458	89355467	10	+	11.5524738893656	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89358022	89358031	10	+	12.4068576241927	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89361922	89361931	10	+	11.6673971351457	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89364040	89364049	10	+	11.5891268662744	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89367291	89367300	10	+	12.6697513814328	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89377524	89377533	10	+	11.7075203144005	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89377637	89377646	10	+	11.5891268662744	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89384578	89384587	10	+	12.7217309615462	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89386659	89386668	10	+	12.6960420701909	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89389107	89389116	10	+	12.4068576241927	MA0057.1	exon	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89360361	89360371	11	+	11.3732495587778	MA0059.1	intron	Shank3	MAX::MYC	-	-	Homo sapiens
chr15	89381648	89381658	11	+	12.3005360838422	MA0059.1	intron	Shank3	MAX::MYC	-	-	Homo sapiens
chr15	89332578	89332597	20	+	13.8836845670985	MA0066.1	intron	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89336550	89336569	20	+	12.5338339151659	MA0066.1	intron	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89358613	89358632	20	+	14.1914924791687	MA0066.1	intron	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89367673	89367692	20	+	9.83789086042377	MA0066.1	intron	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89379978	89379997	20	+	11.2108421496372	MA0066.1	exon	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89389512	89389531	20	+	12.4504830913835	MA0066.1	exon	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89390057	89390076	20	+	9.91480858415366	MA0066.1	exon	Shank3	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr15	89340151	89340164	14	+	11.7815796725514	MA0069.1	intron	Shank3	Pax6	PAX6	paired box 6	Homo sapiens
chr15	89346952	89346965	14	+	13.2929355902686	MA0069.1	intron	Shank3	Pax6	PAX6	paired box 6	Homo sapiens
chr15	89330707	89330718	12	+	12.9138995014081	MA0070.1	exon	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89337786	89337797	12	+	16.9163114822654	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89337790	89337801	12	+	15.6465061184542	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89337794	89337805	12	+	15.6465061184542	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89337798	89337809	12	+	15.6465061184542	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89337802	89337813	12	+	15.6465061184542	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89337806	89337817	12	+	15.6465061184542	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89337810	89337821	12	+	15.6465061184542	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89337814	89337825	12	+	15.6465061184542	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89337818	89337829	12	+	12.5666285536595	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89350271	89350282	12	+	11.5276631590188	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89382049	89382060	12	+	10.1100223017989	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89385230	89385241	12	+	11.2860984402577	MA0070.1	intron	Shank3	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	89336840	89336849	10	+	13.5293243731599	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	89346946	89346955	10	+	13.1840824133498	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	89358164	89358173	10	+	12.808105554284	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	89367564	89367573	10	+	14.544889625847	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	89383864	89383873	10	+	12.6883064412905	MA0071.1	intron	Shank3	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	89346943	89346956	14	+	17.5563700485236	MA0072.1	intron	Shank3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	89367777	89367790	14	+	10.8288403303678	MA0072.1	intron	Shank3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	89374971	89374984	14	+	11.381640853006	MA0072.1	intron	Shank3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	89386807	89386820	14	+	9.71631135353464	MA0072.1	intron	Shank3	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	89330151	89330170	20	+	9.76997623600587	MA0073.1	exon	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89337833	89337852	20	+	11.6535110915569	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89337834	89337853	20	+	10.2442198143063	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89337836	89337855	20	+	9.41363481557082	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89337837	89337856	20	+	8.25810013056598	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89337965	89337984	20	+	7.02901818085747	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89338948	89338967	20	+	12.2513552812359	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341101	89341120	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341103	89341122	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341105	89341124	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341107	89341126	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341109	89341128	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341111	89341130	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341113	89341132	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341115	89341134	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341117	89341136	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341119	89341138	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341121	89341140	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341123	89341142	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89341125	89341144	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89342418	89342437	20	+	7.56739804624337	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89342436	89342455	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89342438	89342457	20	+	8.512950262221	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89344236	89344255	20	+	9.51874420716298	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89344240	89344259	20	+	8.80726621756944	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89344244	89344263	20	+	11.7898585722839	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89344676	89344695	20	+	8.34434171974728	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345577	89345596	20	+	6.92246721008648	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345581	89345600	20	+	8.79221950233935	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345589	89345608	20	+	6.78067694152547	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345591	89345610	20	+	8.38159357220391	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345594	89345613	20	+	9.85763638655401	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345595	89345614	20	+	7.06077466625026	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345596	89345615	20	+	11.0845569016387	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345599	89345618	20	+	7.6096230695586	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345601	89345620	20	+	10.4602728582908	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345606	89345625	20	+	14.1526775423862	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345611	89345630	20	+	7.749618027136	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345637	89345656	20	+	14.1069337878163	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345638	89345657	20	+	8.29032896932639	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345642	89345661	20	+	7.55380962700406	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345644	89345663	20	+	11.7417827730845	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345645	89345664	20	+	11.8208436860252	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345649	89345668	20	+	7.39901865250191	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345652	89345671	20	+	9.36090157576419	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345654	89345673	20	+	8.14326094476853	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345655	89345674	20	+	10.0475414772729	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345656	89345675	20	+	17.222218269056	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345657	89345676	20	+	17.2751819765715	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345658	89345677	20	+	7.16272358226789	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345659	89345678	20	+	8.89801491351457	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89345667	89345686	20	+	7.57734037859863	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346111	89346130	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346113	89346132	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346115	89346134	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346117	89346136	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346119	89346138	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346121	89346140	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346123	89346142	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346125	89346144	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346127	89346146	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346129	89346148	20	+	6.83201549089505	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346131	89346150	20	+	7.5936887350014	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346246	89346265	20	+	9.57980841874169	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89346248	89346267	20	+	8.91281988664734	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89358511	89358530	20	+	15.2456339222718	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89358514	89358533	20	+	12.4809628982831	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89358515	89358534	20	+	8.56023836462037	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89359812	89359831	20	+	10.3253570030378	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89360073	89360092	20	+	9.88470302363626	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89360078	89360097	20	+	7.60786281827744	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89360083	89360102	20	+	7.35263878684506	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89360090	89360109	20	+	11.0583864670834	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89360203	89360222	20	+	7.63576366531682	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89360218	89360237	20	+	7.99946156395397	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89360219	89360238	20	+	7.26943719819149	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89360230	89360249	20	+	10.0909794489719	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89361645	89361664	20	+	8.33277246113262	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	89361647	89361666	20	+	9.07277924565119	MA0073.1	intron	Shank3	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
