seqnames	start	end	width	strand	overlap_count
chr2	158595758	158596257	500	*	16
chr2	158596258	158596757	500	*	27
chr2	158596758	158597257	500	*	82
chr2	158597258	158597757	500	*	21
chr2	158597758	158598257	500	*	43
chr2	158598258	158598757	500	*	39
chr2	158598758	158599257	500	*	41
chr2	158599258	158599757	500	*	25
chr2	158599758	158600257	500	*	26
chr2	158600258	158600757	500	*	4
chr2	158600758	158601257	500	*	11
chr2	158601258	158601757	500	*	26
chr2	158601758	158602257	500	*	11
chr2	158602258	158602757	500	*	80
chr2	158602758	158603257	500	*	22
chr2	158603258	158603757	500	*	15
chr2	158603758	158604257	500	*	14
chr2	158604258	158604757	500	*	31
chr2	158604758	158605257	500	*	39
chr2	158605258	158605757	500	*	31
chr2	158605758	158606257	500	*	40
chr2	158606258	158606757	500	*	51
chr2	158606758	158607257	500	*	31
chr2	158607258	158607757	500	*	9
chr2	158607758	158608257	500	*	25
chr2	158608258	158608757	500	*	27
chr2	158608758	158609257	500	*	17
chr2	158609258	158609757	500	*	10
chr2	158609758	158610257	500	*	14
chr2	158610258	158610757	500	*	9
chr2	158610758	158611257	500	*	37
chr2	158611258	158611757	500	*	17
chr2	158611758	158612257	500	*	19
chr2	158612258	158612757	500	*	29
chr2	158612758	158613257	500	*	14
chr2	158613258	158613757	500	*	9
chr2	158613758	158614257	500	*	10
chr2	158614258	158614757	500	*	12
chr2	158614758	158615257	500	*	51
chr2	158615258	158615747	490	*	25
