seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr12	116083855	116083865	11	+	16.3404805114578	MA0025.1	intron	vipr2	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr12	116101354	116101367	14	+	13.3260050076599	MA0030.1	intron	vipr2	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr12	116117565	116117578	14	-	13.8514543043141	MA0030.1	intron	vipr2	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr12	116088351	116088368	18	+	12.3305503791143	MA0051.1	intron	vipr2	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr12	116099927	116099944	18	+	11.9036540943335	MA0051.1	intron	vipr2	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr12	116100088	116100105	18	+	10.7770811414577	MA0051.1	intron	vipr2	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr12	116137949	116137966	18	+	15.1825484590689	MA0051.1	intron	vipr2	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr12	116091138	116091147	10	+	12.3665478488454	MA0057.1	intron	vipr2	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr12	116093020	116093029	10	+	10.3454829368578	MA0057.1	intron	vipr2	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr12	116093331	116093340	10	+	10.3454829368578	MA0057.1	intron	vipr2	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr12	116125440	116125449	10	+	11.7708112616041	MA0057.1	intron	vipr2	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr12	116130273	116130282	10	+	10.7005466435563	MA0057.1	intron	vipr2	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr12	116131799	116131808	10	+	12.4051594383129	MA0057.1	intron	vipr2	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr12	116135752	116135761	10	+	10.7535925209233	MA0057.1	intron	vipr2	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr12	116135759	116135768	10	+	11.0684658582767	MA0057.1	intron	vipr2	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr12	116117670	116117679	10	-	11.0511472171712	MA0057.1	intron	vipr2	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr12	116086831	116086841	11	+	13.0535607664533	MA0059.1	intron	vipr2	MAX::MYC	-	-	Homo sapiens
chr12	116133097	116133107	11	+	16.8362278264296	MA0059.1	intron	vipr2	MAX::MYC	-	-	Homo sapiens
chr12	116121622	116121632	11	-	13.0017075418451	MA0059.1	intron	vipr2	MAX::MYC	-	-	Homo sapiens
chr12	116083743	116083762	20	+	10.1482754275426	MA0066.1	intron	vipr2	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr12	116093038	116093057	20	+	10.462780325457	MA0066.1	intron	vipr2	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr12	116128749	116128768	20	+	11.2002773125867	MA0066.1	intron	vipr2	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr12	116123623	116123636	14	+	12.0234621262464	MA0069.1	intron	vipr2	Pax6	PAX6	paired box 6	Homo sapiens
chr12	116108569	116108580	12	-	14.9040510211089	MA0070.1	intron	vipr2	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr12	116083187	116083196	10	+	12.6290162587413	MA0071.1	intron	vipr2	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr12	116088698	116088707	10	+	13.3214715598955	MA0071.1	intron	vipr2	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr12	116098486	116098495	10	+	13.5026344659938	MA0071.1	intron	vipr2	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
