seqnames	start	end	width	strand	overlap_count
chr10	5639193	5639202	10	*	0
chr10	5639203	5639212	10	*	0
chr10	5639213	5639222	10	*	0
chr10	5639223	5639232	10	*	0
chr10	5639233	5639242	10	*	0
chr10	5639243	5639252	10	*	0
chr10	5639253	5639262	10	*	0
chr10	5639263	5639272	10	*	0
chr10	5639273	5639282	10	*	0
chr10	5639283	5639292	10	*	0
chr10	5639293	5639302	10	*	0
chr10	5639303	5639312	10	*	1
chr10	5639313	5639322	10	*	8
chr10	5639323	5639332	10	*	11
chr10	5639333	5639342	10	*	3
chr10	5639343	5639352	10	*	7
chr10	5639353	5639362	10	*	4
chr10	5639363	5639372	10	*	0
chr10	5639373	5639382	10	*	0
chr10	5639383	5639392	10	*	0
chr10	5639393	5639402	10	*	0
chr10	5639403	5639412	10	*	0
chr10	5639413	5639422	10	*	0
chr10	5639423	5639432	10	*	0
chr10	5639433	5639442	10	*	0
chr10	5639443	5639452	10	*	0
chr10	5639453	5639462	10	*	0
chr10	5639463	5639472	10	*	0
chr10	5639473	5639482	10	*	0
chr10	5639483	5639492	10	*	0
chr10	5639493	5639502	10	*	0
chr10	5639503	5639512	10	*	0
chr10	5639513	5639522	10	*	0
chr10	5639523	5639532	10	*	0
chr10	5639533	5639542	10	*	0
chr10	5639543	5639552	10	*	0
chr10	5639553	5639562	10	*	0
chr10	5639563	5639572	10	*	0
chr10	5639573	5639582	10	*	2
chr10	5639583	5639592	10	*	2
chr10	5639593	5639602	10	*	0
chr10	5639603	5639612	10	*	0
chr10	5639613	5639622	10	*	0
chr10	5639623	5639632	10	*	0
chr10	5639633	5639642	10	*	0
chr10	5639643	5639652	10	*	0
chr10	5639653	5639662	10	*	0
chr10	5639663	5639672	10	*	0
chr10	5639673	5639682	10	*	0
chr10	5639683	5639692	10	*	0
chr10	5639693	5639702	10	*	0
chr10	5639703	5639712	10	*	2
chr10	5639713	5639722	10	*	2
chr10	5639723	5639732	10	*	2
chr10	5639733	5639742	10	*	0
chr10	5639743	5639752	10	*	2
chr10	5639753	5639762	10	*	2
chr10	5639763	5639772	10	*	1
chr10	5639773	5639782	10	*	0
chr10	5639783	5639792	10	*	0
chr10	5639793	5639802	10	*	0
chr10	5639803	5639812	10	*	0
chr10	5639813	5639822	10	*	0
chr10	5639823	5639832	10	*	0
chr10	5639833	5639842	10	*	0
chr10	5639843	5639852	10	*	0
