seqnames	start	end	width	strand	overlap_count
chr6	49802710	49802719	10	*	0
chr6	49802720	49802729	10	*	0
chr6	49802730	49802739	10	*	0
chr6	49802740	49802749	10	*	0
chr6	49802750	49802759	10	*	0
chr6	49802760	49802769	10	*	0
chr6	49802770	49802779	10	*	0
chr6	49802780	49802789	10	*	0
chr6	49802790	49802799	10	*	1
chr6	49802800	49802809	10	*	1
chr6	49802810	49802819	10	*	0
chr6	49802820	49802829	10	*	0
chr6	49802830	49802839	10	*	0
chr6	49802840	49802849	10	*	0
chr6	49802850	49802859	10	*	0
chr6	49802860	49802869	10	*	0
chr6	49802870	49802879	10	*	1
chr6	49802880	49802889	10	*	1
chr6	49802890	49802899	10	*	1
chr6	49802900	49802909	10	*	0
chr6	49802910	49802919	10	*	0
chr6	49802920	49802929	10	*	0
chr6	49802930	49802939	10	*	3
chr6	49802940	49802949	10	*	11
chr6	49802950	49802959	10	*	10
chr6	49802960	49802969	10	*	7
chr6	49802970	49802979	10	*	4
chr6	49802980	49802989	10	*	2
chr6	49802990	49802999	10	*	0
chr6	49803000	49803009	10	*	0
chr6	49803010	49803019	10	*	0
chr6	49803020	49803029	10	*	1
chr6	49803030	49803039	10	*	1
chr6	49803040	49803049	10	*	0
chr6	49803050	49803059	10	*	0
chr6	49803060	49803069	10	*	0
chr6	49803070	49803079	10	*	0
chr6	49803080	49803089	10	*	0
chr6	49803090	49803099	10	*	0
chr6	49803100	49803109	10	*	0
chr6	49803110	49803119	10	*	0
chr6	49803120	49803129	10	*	0
chr6	49803130	49803139	10	*	0
chr6	49803140	49803149	10	*	0
chr6	49803150	49803159	10	*	0
chr6	49803160	49803169	10	*	0
chr6	49803170	49803179	10	*	0
chr6	49803180	49803189	10	*	1
chr6	49803190	49803199	10	*	1
chr6	49803200	49803209	10	*	1
chr6	49803210	49803219	10	*	0
chr6	49803220	49803229	10	*	0
chr6	49803230	49803239	10	*	1
chr6	49803240	49803249	10	*	1
chr6	49803250	49803259	10	*	0
chr6	49803260	49803269	10	*	0
chr6	49803270	49803279	10	*	1
chr6	49803280	49803289	10	*	1
chr6	49803290	49803299	10	*	5
chr6	49803300	49803309	10	*	5
chr6	49803310	49803319	10	*	0
chr6	49803320	49803329	10	*	0
chr6	49803330	49803339	10	*	0
chr6	49803340	49803349	10	*	0
chr6	49803350	49803359	10	*	0
chr6	49803360	49803369	10	*	0
chr6	49803370	49803379	10	*	0
chr6	49803380	49803389	10	*	1
chr6	49803390	49803399	10	*	9
chr6	49803400	49803409	10	*	6
chr6	49803410	49803419	10	*	1
chr6	49803420	49803429	10	*	0
chr6	49803430	49803439	10	*	0
chr6	49803440	49803449	10	*	0
chr6	49803450	49803459	10	*	0
chr6	49803460	49803469	10	*	0
chr6	49803470	49803479	10	*	0
chr6	49803480	49803489	10	*	0
chr6	49803490	49803499	10	*	0
chr6	49803500	49803509	10	*	0
chr6	49803510	49803519	10	*	0
chr6	49803520	49803529	10	*	0
chr6	49803530	49803539	10	*	0
chr6	49803540	49803549	10	*	0
chr6	49803550	49803559	10	*	9
chr6	49803560	49803569	10	*	16
chr6	49803570	49803579	10	*	11
chr6	49803580	49803589	10	*	1
chr6	49803590	49803599	10	*	1
chr6	49803600	49803609	10	*	0
chr6	49803610	49803619	10	*	0
chr6	49803620	49803629	10	*	0
chr6	49803630	49803639	10	*	0
chr6	49803640	49803649	10	*	0
chr6	49803650	49803659	10	*	0
chr6	49803660	49803669	10	*	0
chr6	49803670	49803679	10	*	1
chr6	49803680	49803689	10	*	2
chr6	49803690	49803699	10	*	2
chr6	49803700	49803709	10	*	1
chr6	49803710	49803719	10	*	1
chr6	49803720	49803729	10	*	0
chr6	49803730	49803739	10	*	0
chr6	49803740	49803749	10	*	0
chr6	49803750	49803759	10	*	0
chr6	49803760	49803769	10	*	0
chr6	49803770	49803779	10	*	0
chr6	49803780	49803789	10	*	0
chr6	49803790	49803799	10	*	3
chr6	49803800	49803809	10	*	3
chr6	49803810	49803819	10	*	0
chr6	49803820	49803829	10	*	1
chr6	49803830	49803839	10	*	2
chr6	49803840	49803849	10	*	2
chr6	49803850	49803859	10	*	0
chr6	49803860	49803869	10	*	0
chr6	49803870	49803879	10	*	5
chr6	49803880	49803889	10	*	5
chr6	49803890	49803899	10	*	1
chr6	49803900	49803909	10	*	1
chr6	49803910	49803919	10	*	1
chr6	49803920	49803929	10	*	0
chr6	49803930	49803939	10	*	0
chr6	49803940	49803949	10	*	0
chr6	49803950	49803959	10	*	0
chr6	49803960	49803969	10	*	0
chr6	49803970	49803979	10	*	0
chr6	49803980	49803989	10	*	2
chr6	49803990	49803999	10	*	6
chr6	49804000	49804009	10	*	5
chr6	49804010	49804019	10	*	0
chr6	49804020	49804029	10	*	0
chr6	49804030	49804039	10	*	0
chr6	49804040	49804049	10	*	0
chr6	49804050	49804059	10	*	0
chr6	49804060	49804069	10	*	5
chr6	49804070	49804079	10	*	5
chr6	49804080	49804089	10	*	1
chr6	49804090	49804099	10	*	0
chr6	49804100	49804109	10	*	0
chr6	49804110	49804119	10	*	0
chr6	49804120	49804129	10	*	1
chr6	49804130	49804139	10	*	1
chr6	49804140	49804149	10	*	0
chr6	49804150	49804159	10	*	0
chr6	49804160	49804169	10	*	0
chr6	49804170	49804179	10	*	0
chr6	49804180	49804189	10	*	2
chr6	49804190	49804199	10	*	3
chr6	49804200	49804209	10	*	2
chr6	49804210	49804219	10	*	0
chr6	49804220	49804229	10	*	0
chr6	49804230	49804239	10	*	0
chr6	49804240	49804249	10	*	0
chr6	49804250	49804259	10	*	0
chr6	49804260	49804269	10	*	0
chr6	49804270	49804279	10	*	0
chr6	49804280	49804289	10	*	1
chr6	49804290	49804299	10	*	3
chr6	49804300	49804309	10	*	2
chr6	49804310	49804319	10	*	0
chr6	49804320	49804329	10	*	0
chr6	49804330	49804339	10	*	0
chr6	49804340	49804349	10	*	0
chr6	49804350	49804359	10	*	0
chr6	49804360	49804369	10	*	0
chr6	49804370	49804379	10	*	0
chr6	49804380	49804389	10	*	0
chr6	49804390	49804399	10	*	0
chr6	49804400	49804409	10	*	2
chr6	49804410	49804419	10	*	2
chr6	49804420	49804429	10	*	2
chr6	49804430	49804439	10	*	2
chr6	49804440	49804449	10	*	4
chr6	49804450	49804459	10	*	2
chr6	49804460	49804469	10	*	0
chr6	49804470	49804479	10	*	0
chr6	49804480	49804489	10	*	0
chr6	49804490	49804499	10	*	0
chr6	49804500	49804509	10	*	1
chr6	49804510	49804519	10	*	1
chr6	49804520	49804529	10	*	1
chr6	49804530	49804539	10	*	0
chr6	49804540	49804549	10	*	1
chr6	49804550	49804559	10	*	1
chr6	49804560	49804569	10	*	1
chr6	49804570	49804579	10	*	1
chr6	49804580	49804589	10	*	1
chr6	49804590	49804599	10	*	0
chr6	49804600	49804609	10	*	0
chr6	49804610	49804619	10	*	0
chr6	49804620	49804629	10	*	0
chr6	49804630	49804639	10	*	0
chr6	49804640	49804649	10	*	0
chr6	49804650	49804659	10	*	0
chr6	49804660	49804669	10	*	1
chr6	49804670	49804679	10	*	1
chr6	49804680	49804689	10	*	0
chr6	49804690	49804699	10	*	0
chr6	49804700	49804709	10	*	0
chr6	49804710	49804719	10	*	0
chr6	49804720	49804729	10	*	0
chr6	49804730	49804739	10	*	0
chr6	49804740	49804749	10	*	0
chr6	49804750	49804759	10	*	0
chr6	49804760	49804769	10	*	0
chr6	49804770	49804779	10	*	0
chr6	49804780	49804789	10	*	2
chr6	49804790	49804799	10	*	2
chr6	49804800	49804809	10	*	0
chr6	49804810	49804819	10	*	0
chr6	49804820	49804829	10	*	0
chr6	49804830	49804839	10	*	1
chr6	49804840	49804849	10	*	1
chr6	49804850	49804859	10	*	0
chr6	49804860	49804869	10	*	0
chr6	49804870	49804879	10	*	0
chr6	49804880	49804889	10	*	4
chr6	49804890	49804899	10	*	4
chr6	49804900	49804909	10	*	3
chr6	49804910	49804919	10	*	0
chr6	49804920	49804929	10	*	0
chr6	49804930	49804939	10	*	1
chr6	49804940	49804949	10	*	1
chr6	49804950	49804959	10	*	0
chr6	49804960	49804969	10	*	0
chr6	49804970	49804979	10	*	1
chr6	49804980	49804989	10	*	1
chr6	49804990	49804999	10	*	0
chr6	49805000	49805009	10	*	0
chr6	49805010	49805019	10	*	0
chr6	49805020	49805029	10	*	0
chr6	49805030	49805039	10	*	0
chr6	49805040	49805049	10	*	0
chr6	49805050	49805059	10	*	0
chr6	49805060	49805069	10	*	0
chr6	49805070	49805079	10	*	0
chr6	49805080	49805089	10	*	1
chr6	49805090	49805099	10	*	1
chr6	49805100	49805109	10	*	0
chr6	49805110	49805119	10	*	0
chr6	49805120	49805129	10	*	0
chr6	49805130	49805139	10	*	0
chr6	49805140	49805149	10	*	0
chr6	49805150	49805159	10	*	0
chr6	49805160	49805169	10	*	1
chr6	49805170	49805179	10	*	3
chr6	49805180	49805189	10	*	8
chr6	49805190	49805199	10	*	12
chr6	49805200	49805209	10	*	8
chr6	49805210	49805219	10	*	1
chr6	49805220	49805229	10	*	1
chr6	49805230	49805239	10	*	0
chr6	49805240	49805249	10	*	0
chr6	49805250	49805259	10	*	1
chr6	49805260	49805269	10	*	1
chr6	49805270	49805279	10	*	0
chr6	49805280	49805289	10	*	0
chr6	49805290	49805299	10	*	1
chr6	49805300	49805309	10	*	2
chr6	49805310	49805319	10	*	3
chr6	49805320	49805329	10	*	2
chr6	49805330	49805339	10	*	1
chr6	49805340	49805349	10	*	0
