seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr15	89528433	89528443	11	+	11.3504402802872	MA0025.1	intron	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89560234	89560244	11	+	14.8845029555779	MA0025.1	exon	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89530413	89530426	14	+	11.0131048317091	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89510453	89510470	18	+	12.7288148409424	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89518292	89518309	18	+	8.87565841944886	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89537569	89537586	18	+	10.5098576518722	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89558753	89558770	18	+	9.16709911856178	MA0051.1	exon	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89501666	89501675	10	+	11.4936872526085	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89513289	89513298	10	+	11.7057768899805	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89524650	89524659	10	+	12.3397986093628	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89525027	89525036	10	+	11.5515619664808	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89527591	89527600	10	+	12.405437632455	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89531491	89531500	10	+	11.6668799678847	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89533609	89533618	10	+	11.5889331316957	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89536860	89536869	10	+	12.6691062346158	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89547093	89547102	10	+	11.7057768899805	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89547206	89547215	10	+	11.5889331316957	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89554147	89554156	10	+	12.7203109698084	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89556228	89556237	10	+	12.6958483356122	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89558676	89558685	10	+	12.405437632455	MA0057.1	exon	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
