seqnames	start	end	width	strand	type	gene_name
chr15	78191114	78191694	580	-	exon	pvalb
chr15	78191117	78191694	577	-	exon	pvalb
chr15	78191695	78201225	9531	-	intron	pvalb
chr15	78201226	78201335	109	-	exon	pvalb
chr15	78201336	78202520	1185	-	intron	pvalb
chr15	78202521	78202653	132	-	exon	pvalb
chr15	78202654	78204084	1431	-	intron	pvalb
chr15	78204085	78204152	67	-	exon	pvalb
chr15	78204085	78204237	152	-	exon	pvalb
chr15	78204238	78206336	2099	-	intron	pvalb
chr15	78206337	78206400	63	-	exon	pvalb
