seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr6	49824152	49824165	14	+	14.4344089507236	MA0030.1	intron	npy	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr6	49825706	49825723	18	+	12.515146011306	MA0051.1	intron	npy	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr6	49829329	49829346	18	+	12.9073323819524	MA0051.1	exon	npy	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr6	49826298	49826317	20	+	13.7558999693045	MA0066.1	intron	npy	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr6	49823240	49823259	20	+	14.3236107130275	MA0073.1	intron	npy	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr6	49826244	49826258	15	+	10.852344761816	MA0074.1	intron	npy	RXRA::VDR	-	-	Homo sapiens
chr6	49828463	49828477	15	+	12.1573666393483	MA0074.1	intron	npy	RXRA::VDR	-	-	Homo sapiens
chr6	49826488	49826499	12	+	13.210684821046	MA0091.1	intron	npy	TAL1::TCF3	-	-	Homo sapiens
chr6	49823140	49823149	10	+	11.3407094436002	MA0101.1	intron	npy	REL	REL	v-rel avian reticuloendotheliosis viral oncogene homolog	Homo sapiens
chr6	49823140	49823149	10	+	12.3860659399567	MA0107.1	intron	npy	RELA	RELA	v-rel avian reticuloendotheliosis viral oncogene homolog A	Homo sapiens
chr6	49828220	49828233	14	+	15.3380337289958	MA0119.1	intron	npy	NFIC::TLX1	-	-	Homo sapiens
chr6	49823715	49823733	19	+	8.29885121736003	MA0139.1	CDS	npy	CTCF	CTCF	CCCTC-binding factor (zinc finger protein)	Homo sapiens
chr6	49825116	49825134	19	+	11.5558766113795	MA0139.1	intron	npy	CTCF	CTCF	CCCTC-binding factor (zinc finger protein)	Homo sapiens
chr6	49827949	49827967	19	+	13.2849296754104	MA0139.1	intron	npy	CTCF	CTCF	CCCTC-binding factor (zinc finger protein)	Homo sapiens
chr6	49828405	49828423	19	+	13.5374771959819	MA0139.1	intron	npy	CTCF	CTCF	CCCTC-binding factor (zinc finger protein)	Homo sapiens
chr6	49827868	49827885	18	+	-1.73226026409979	MA0149.1	intron	npy	EWSR1-FLI1	-	-	Homo sapiens
chr6	49826829	49826840	12	+	10.5989096970409	MA0155.1	intron	npy	INSM1	INSM1	insulinoma-associated 1	Homo sapiens
chr6	49827624	49827637	14	+	8.99428435208168	MA0163.1	intron	npy	PLAG1	PLAG1	pleiomorphic adenoma gene 1	Homo sapiens
chr6	49824310	49824320	11	+	13.5197085151352	MA0465.1	intron	npy	CDX2	CDX2	caudal type homeobox 2	Homo sapiens
chr6	49824819	49824829	11	+	15.2673024581171	MA0468.1	intron	npy	DUX4	DUX4	double homeobox 4	Homo sapiens
chr6	49823984	49823998	15	+	12.2741803242696	MA0484.1	intron	npy	HNF4G	HNF4G	hepatocyte nuclear factor 4,gamma	Homo sapiens
chr6	49825031	49825045	15	+	14.9785612771872	MA0497.1	intron	npy	MEF2C	MEF2C	myocyte enhancer factor 2C	Homo sapiens
chr6	49828781	49828795	15	+	14.592290871127	MA0497.1	intron	npy	MEF2C	MEF2C	myocyte enhancer factor 2C	Homo sapiens
chr6	49827908	49827922	15	+	12.2647876110016	MA0502.1	intron	npy	NFYB	NFYB	nuclear transcription factor Y,beta	Homo sapiens
chr6	49826792	49826806	15	+	13.1805113003063	MA0504.1	intron	npy	NR2C2	NR2C2	nuclear receptor subfamily 2,group C,member 2	Homo sapiens
chr6	49823467	49823477	11	+	13.2176211933918	MA0506.1	intron	npy	NRF1	NRF1	nuclear respiratory factor 1	Homo sapiens
chr6	49824223	49824233	11	+	10.8721961433301	MA0506.1	intron	npy	NRF1	NRF1	nuclear respiratory factor 1	Homo sapiens
chr6	49823368	49823380	13	+	11.3271116052725	MA0513.1	intron	npy	SMAD2::SMAD3::SMAD4	-	-	Homo sapiens
chr6	49824017	49824029	13	+	16.2749968776886	MA0513.1	intron	npy	SMAD2::SMAD3::SMAD4	-	-	Homo sapiens
chr6	49822987	49823001	15	+	14.6465397821828	MA0516.1	intron	npy	SP2	SP2	Sp2 transcription factor	Homo sapiens
chr6	49829437	49829451	15	+	8.80991227337332	MA0516.1	exon	npy	SP2	SP2	Sp2 transcription factor	Homo sapiens
chr6	49825007	49825021	15	+	15.8159504351615	MA0517.1	intron	npy	STAT1::STAT2	-	-	Homo sapiens
chr6	49825029	49825042	14	+	12.3619461872047	MA0523.1	intron	npy	TCF7L2	TCF7L2	transcription factor 7-like 2 (T-cell specific,HMG-box)	Homo sapiens
chr6	49824123	49824143	21	+	14.5941182417425	MA0528.1	intron	npy	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr6	49825646	49825666	21	+	13.3849782599436	MA0528.1	intron	npy	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr6	49825649	49825669	21	+	10.7206189273385	MA0528.1	intron	npy	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr6	49826968	49826988	21	+	10.1349530272539	MA0528.1	intron	npy	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
