seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr15	78192245	78192255	11	-	13.8488091813867	MA0025.1	intron	pvalb	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	78195692	78195702	11	-	14.2736144569144	MA0025.1	intron	pvalb	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	78193008	78193025	18	-	9.46533910708703	MA0051.1	intron	pvalb	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	78197537	78197554	18	-	9.7771734941598	MA0051.1	intron	pvalb	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	78203962	78203975	14	-	11.1028528631045	MA0069.1	intron	pvalb	Pax6	PAX6	paired box 6	Homo sapiens
chr15	78197562	78197573	12	-	12.849435520369	MA0070.1	intron	pvalb	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr15	78197040	78197049	10	-	14.012097989871	MA0071.1	intron	pvalb	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	78203435	78203444	10	-	13.7557630193772	MA0071.1	intron	pvalb	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	78205214	78205223	10	-	12.0451618016379	MA0071.1	intron	pvalb	RORA	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	78197278	78197291	14	-	9.54445436636688	MA0072.1	intron	pvalb	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	78199417	78199430	14	-	10.7724448053239	MA0072.1	intron	pvalb	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr15	78198933	78198952	20	-	11.4872138167518	MA0073.1	intron	pvalb	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	78198935	78198954	20	-	11.4872138167518	MA0073.1	intron	pvalb	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	78198937	78198956	20	-	11.4872138167518	MA0073.1	intron	pvalb	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	78198939	78198958	20	-	11.4872138167518	MA0073.1	intron	pvalb	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	78198941	78198960	20	-	11.4872138167518	MA0073.1	intron	pvalb	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	78198943	78198962	20	-	11.4872138167518	MA0073.1	intron	pvalb	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	78198945	78198964	20	-	11.4872138167518	MA0073.1	intron	pvalb	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	78198947	78198966	20	-	11.4872138167518	MA0073.1	intron	pvalb	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	78198949	78198968	20	-	11.4872138167518	MA0073.1	intron	pvalb	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr15	78198951	78198970	20	-	11.4872138167518	MA0073.1	intron	pvalb	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
