seqnames	start	end	width	strand	type	gene_name
chr15	89477425	89499622	22197	+	Promoter	Shank3
chr15	89499623	89499919	297	+	exon	Shank3
chr15	89499623	89499856	234	+	UTR	Shank3
chr15	89499857	89500122	266	+	intron	Shank3
chr15	89500123	89500418	296	+	exon	Shank3
chr15	89500123	89500418	296	+	UTR	Shank3
chr15	89500215	89500418	204	+	exon	Shank3
chr15	89500419	89501282	864	+	intron	Shank3
chr15	89501283	89501475	193	+	exon	Shank3
chr15	89501404	89501475	72	+	exon	Shank3
chr15	89501404	89501475	72	+	UTR	Shank3
chr15	89501476	89503119	1644	+	intron	Shank3
chr15	89503120	89503228	109	+	exon	Shank3
chr15	89503120	89503137	18	+	UTR	Shank3
chr15	89503138	89503302	165	+	intron	Shank3
chr15	89503303	89503454	152	+	exon	Shank3
chr15	89503303	89503421	119	+	exon	Shank3
chr15	89503422	89503539	118	+	intron	Shank3
chr15	89503540	89503707	168	+	exon	Shank3
chr15	89503708	89503796	89	+	intron	Shank3
chr15	89503797	89503913	117	+	exon	Shank3
chr15	89503914	89504316	403	+	intron	Shank3
chr15	89504317	89504394	78	+	exon	Shank3
chr15	89504395	89505389	995	+	intron	Shank3
chr15	89505390	89505456	67	+	exon	Shank3
chr15	89505457	89521102	15646	+	intron	Shank3
chr15	89521103	89521373	271	+	exon	Shank3
chr15	89521374	89523760	2387	+	intron	Shank3
chr15	89523761	89524219	459	+	exon	Shank3
chr15	89523761	89523948	188	+	UTR	Shank3
chr15	89523949	89524025	77	+	intron	Shank3
chr15	89524026	89524219	194	+	exon	Shank3
chr15	89524220	89524321	102	+	intron	Shank3
chr15	89524322	89524581	260	+	exon	Shank3
chr15	89524582	89525159	578	+	intron	Shank3
chr15	89525160	89525273	114	+	exon	Shank3
chr15	89525274	89530795	5522	+	intron	Shank3
chr15	89530796	89531418	623	+	exon	Shank3
chr15	89531343	89531418	76	+	exon	Shank3
chr15	89531419	89531625	207	+	intron	Shank3
chr15	89531626	89531708	83	+	exon	Shank3
chr15	89531709	89532094	386	+	intron	Shank3
chr15	89532095	89532219	125	+	exon	Shank3
chr15	89532220	89532328	109	+	intron	Shank3
chr15	89532329	89532461	133	+	exon	Shank3
chr15	89532329	89532408	80	+	exon	Shank3
chr15	89532409	89532889	481	+	intron	Shank3
chr15	89532890	89533454	565	+	exon	Shank3
chr15	89532890	89533201	312	+	UTR	Shank3
chr15	89533202	89533373	172	+	intron	Shank3
chr15	89533374	89533454	81	+	exon	Shank3
chr15	89533374	89533482	109	+	exon	Shank3
chr15	89533483	89534367	885	+	intron	Shank3
chr15	89534368	89534394	27	+	exon	Shank3
chr15	89534395	89538014	3620	+	intron	Shank3
chr15	89538015	89538038	24	+	exon	Shank3
chr15	89538039	89543099	5061	+	intron	Shank3
chr15	89543100	89543230	131	+	exon	Shank3
chr15	89543110	89543230	121	+	UTR	Shank3
chr15	89543231	89543793	563	+	intron	Shank3
chr15	89543794	89543878	85	+	exon	Shank3
chr15	89543794	89543878	85	+	UTR	Shank3
chr15	89543794	89543816	23	+	exon	Shank3
chr15	89543817	89547625	3809	+	intron	Shank3
chr15	89547626	89549882	2257	+	exon	Shank3
chr15	89547626	89549882	2257	+	UTR	Shank3
chr15	89549883	89556701	6819	+	intron	Shank3
chr15	89556702	89556748	47	+	exon	Shank3
chr15	89556721	89556748	28	+	exon	Shank3
chr15	89556749	89557734	986	+	intron	Shank3
chr15	89557735	89560261	2527	+	exon	Shank3
chr15	89557735	89560259	2525	+	exon	Shank3
chr15	89557735	89557760	26	+	exon	Shank3
chr15	89557735	89558323	589	+	exon	Shank3
chr15	89557735	89558323	589	+	UTR	Shank3
chr15	89557753	89560261	2509	+	UTR	Shank3
chr15	89557758	89557760	3	+	UTR	Shank3
chr15	89557761	89558320	560	+	intron	Shank3
chr15	89558321	89560261	1941	+	UTR	Shank3
chr15	89560262	89570261	10000	+	intron	Shank3

