seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr15	89528433	89528443	11	+	11.9952509312112	MA0025.1	intron	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89560234	89560244	11	+	15.3491579732935	MA0025.1	exon	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89567428	89567438	11	+	11.9952509312112	MA0025.1	intron	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89481428	89481441	14	+	12.7250413066135	MA0030.1	Promoter	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89485656	89485669	14	+	11.2296402677979	MA0030.1	Promoter	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89491224	89491237	14	+	12.2846760507994	MA0030.1	Promoter	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89530413	89530426	14	+	11.8418195735813	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89561976	89561989	14	+	13.7222913095458	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89562262	89562275	14	+	11.3618643202451	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89478888	89478905	18	+	10.7237831392732	MA0051.1	Promoter	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89479106	89479123	18	+	11.2728375147435	MA0051.1	Promoter	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89484442	89484459	18	+	9.49020956797533	MA0051.1	Promoter	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89484627	89484644	18	+	10.6225639169954	MA0051.1	Promoter	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89492208	89492225	18	+	9.78168959862434	MA0051.1	Promoter	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89493710	89493727	18	+	10.5238878299071	MA0051.1	Promoter	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89496401	89496418	18	+	15.2019663148076	MA0051.1	Promoter	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89510453	89510470	18	+	13.042866449381	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89537569	89537586	18	+	11.6733339601239	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89558753	89558770	18	+	10.2549010912336	MA0051.1	exon	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89562328	89562345	18	+	11.0666221690012	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89501666	89501675	10	+	11.3981857673004	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89513289	89513298	10	+	11.3834977153419	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89524650	89524659	10	+	12.4011417292021	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89525027	89525036	10	+	11.4432221146154	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89527591	89527600	10	+	12.2633140910249	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr15	89531491	89531500	10	+	11.5713784825766	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
