seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr10	5637369	5637382	14	+	15.2653031751677	MA0030.1	intron	vip	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr10	5610085	5610102	18	+	12.2164773934524	MA0051.1	intron	vip	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr10	5635298	5635315	18	+	13.2967841979508	MA0051.1	intron	vip	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr10	5645558	5645575	18	+	12.1642850085941	MA0051.1	intron	vip	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr10	5605766	5605775	10	+	10.4280019957013	MA0057.1	intron	vip	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	5614717	5614726	10	+	10.3910141654528	MA0057.1	intron	vip	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	5622940	5622949	10	+	10.7418755671047	MA0057.1	intron	vip	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	5623519	5623528	10	+	11.0948169452916	MA0057.1	intron	vip	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	5626083	5626092	10	+	10.6022749215626	MA0057.1	intron	vip	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	5631102	5631111	10	+	11.8753702373691	MA0057.1	intron	vip	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	5644119	5644128	10	+	11.7091901254791	MA0057.1	intron	vip	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	5609051	5609061	11	+	9.96246386419214	MA0059.1	intron	vip	MAX::MYC	-	-	Homo sapiens
chr10	5646819	5646829	11	+	13.124267251029	MA0059.1	exon	vip	MAX::MYC	-	-	Homo sapiens
chr10	5613764	5613783	20	+	12.1173989120831	MA0066.1	intron	vip	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	5629916	5629935	20	+	10.6390640490609	MA0066.1	intron	vip	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
