seqnames	start	end	width	strand	type	gene_name
chr10	748224	750710	2486	-	exon	Shank3
chr10	750711	758880	8170	-	intron	Shank3
chr10	758881	761134	2253	-	exon	Shank3
chr10	761135	765538	4404	-	intron	Shank3
chr10	765539	765623	84	-	exon	Shank3
chr10	765624	766212	589	-	intron	Shank3
chr10	766213	766343	130	-	exon	Shank3
chr10	766344	769581	3238	-	intron	Shank3
chr10	769582	769605	23	-	exon	Shank3
chr10	769606	776331	6726	-	intron	Shank3
chr10	776332	776412	80	-	exon	Shank3
chr10	776413	777379	967	-	intron	Shank3
chr10	777380	777512	132	-	exon	Shank3
chr10	777513	777614	102	-	intron	Shank3
chr10	777615	777739	124	-	exon	Shank3
chr10	777740	778228	489	-	intron	Shank3
chr10	778229	778311	82	-	exon	Shank3
chr10	778312	778564	253	-	intron	Shank3
chr10	778565	778640	75	-	exon	Shank3
chr10	778641	783994	5354	-	intron	Shank3
chr10	783995	784108	113	-	exon	Shank3
chr10	784109	785074	966	-	intron	Shank3
chr10	785075	785268	193	-	exon	Shank3
chr10	785269	788036	2768	-	intron	Shank3
chr10	788037	788310	273	-	exon	Shank3
chr10	788311	791728	3418	-	intron	Shank3
chr10	791729	791832	103	+	exon	Shank3
chr10	791833	797397	5565	+	intron	Shank3
chr10	797398	797464	66	-	exon	Shank3
chr10	797465	798463	999	-	intron	Shank3
chr10	798464	798541	77	-	exon	Shank3
chr10	798542	798873	332	-	intron	Shank3
chr10	798874	798990	116	-	exon	Shank3
chr10	798991	799115	125	-	intron	Shank3
chr10	799116	799283	167	-	exon	Shank3
chr10	799284	799365	82	-	intron	Shank3
chr10	799366	799517	151	-	exon	Shank3
chr10	799518	799589	72	-	intron	Shank3
chr10	799590	799698	108	-	exon	Shank3
chr10	799699	801560	1862	-	intron	Shank3
chr10	801561	801632	71	-	exon	Shank3
chr10	801633	803749	2117	-	intron	Shank3
chr10	803750	803953	203	-	exon	Shank3
chr10	803954	804297	344	-	intron	Shank3
chr10	804298	804403	105	-	exon	Shank3
