seqnames	start	end	width	strand	type	gene_name
chr15	89330039	89330350	311	+	exon	Shank3
chr15	89330351	89330645	295	+	intron	Shank3
chr15	89330646	89330849	203	+	exon	Shank3
chr15	89330850	89331834	985	+	intron	Shank3
chr15	89331835	89331906	71	+	exon	Shank3
chr15	89331907	89333550	1644	+	intron	Shank3
chr15	89333551	89333659	108	+	exon	Shank3
chr15	89333660	89333733	74	+	intron	Shank3
chr15	89333734	89333885	151	+	exon	Shank3
chr15	89333886	89333970	85	+	intron	Shank3
chr15	89333971	89334138	167	+	exon	Shank3
chr15	89334139	89334227	89	+	intron	Shank3
chr15	89334228	89334344	116	+	exon	Shank3
chr15	89334345	89334747	403	+	intron	Shank3
chr15	89334748	89334825	77	+	exon	Shank3
chr15	89334826	89335820	995	+	intron	Shank3
chr15	89335821	89335887	66	+	exon	Shank3
chr15	89335888	89351533	15646	+	intron	Shank3
chr15	89351534	89351804	270	+	exon	Shank3
chr15	89351805	89354456	2652	+	intron	Shank3
chr15	89354457	89354650	193	+	exon	Shank3
chr15	89354651	89355590	940	+	intron	Shank3
chr15	89355591	89355704	113	+	exon	Shank3
chr15	89355705	89361773	6069	+	intron	Shank3
chr15	89361774	89361849	75	+	exon	Shank3
chr15	89361850	89362056	207	+	intron	Shank3
chr15	89362057	89362139	82	+	exon	Shank3
chr15	89362140	89362525	386	+	intron	Shank3
chr15	89362526	89362650	124	+	exon	Shank3
chr15	89362651	89362759	109	+	intron	Shank3
chr15	89362760	89362892	132	+	exon	Shank3
chr15	89362893	89363804	912	+	intron	Shank3
chr15	89363805	89363885	80	+	exon	Shank3
chr15	89363886	89368445	4560	+	intron	Shank3
chr15	89368446	89368469	23	+	exon	Shank3
chr15	89368470	89373530	5061	+	intron	Shank3
chr15	89373531	89373661	130	+	exon	Shank3
chr15	89373662	89374224	563	+	intron	Shank3
chr15	89374225	89374309	84	+	exon	Shank3
chr15	89374310	89378056	3747	+	intron	Shank3
chr15	89378057	89380313	2256	+	exon	Shank3
chr15	89380314	89388165	7852	+	intron	Shank3
chr15	89388166	89390691	2525	+	exon	Shank3
