seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr10	5646917	5646927	11	+	17.953593171166	MA0025.1	exon	vip	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr10	5645558	5645575	18	+	12.9990488544407	MA0051.1	intron	vip	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr10	5644119	5644128	10	+	11.5099264275613	MA0057.1	intron	vip	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
chr10	5646819	5646829	11	+	13.0839675594767	MA0059.1	exon	vip	MAX::MYC	-	-	Homo sapiens
chr10	5641290	5641309	20	+	9.35004600658065	MA0066.1	intron	vip	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	5642500	5642519	20	+	10.7507862946273	MA0066.1	exon	vip	PPARG	PPARG	peroxisome proliferator-activated receptor gamma	Homo sapiens
chr10	5643417	5643430	14	+	15.8386246556009	MA0069.1	intron	vip	Pax6	PAX6	paired box 6	Homo sapiens
chr10	5640188	5640199	12	+	15.761041455973	MA0070.1	intron	vip	PBX1	PBX1	pre-B-cell leukemia homeobox 1	Homo sapiens
chr10	5640163	5640176	14	+	12.5320849873355	MA0072.1	intron	vip	RORA(var.2)	RORA	RAR-related orphan receptor A	Homo sapiens
chr10	5641677	5641696	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641679	5641698	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641681	5641700	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641683	5641702	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641685	5641704	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641687	5641706	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641689	5641708	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641691	5641710	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641693	5641712	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641695	5641714	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641697	5641716	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641699	5641718	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641701	5641720	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641703	5641722	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641705	5641724	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641707	5641726	20	+	10.8707438555102	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5641709	5641728	20	+	9.06669281666957	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5643086	5643105	20	+	8.89320718876495	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5643088	5643107	20	+	8.89320718876495	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5643090	5643109	20	+	9.15498917703014	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5643092	5643111	20	+	9.77514518436005	MA0073.1	intron	vip	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr10	5645805	5645814	10	+	10.2118940947177	MA0101.1	intron	vip	REL	REL	v-rel avian reticuloendotheliosis viral oncogene homolog	Homo sapiens
chr10	5645805	5645814	10	+	10.6467653328207	MA0107.1	intron	vip	RELA	RELA	v-rel avian reticuloendotheliosis viral oncogene homolog A	Homo sapiens
chr10	5644803	5644816	14	+	8.14854389945026	MA0119.1	intron	vip	NFIC::TLX1	-	-	Homo sapiens
chr10	5645983	5646000	18	+	-7.4219576064974	MA0149.1	intron	vip	EWSR1-FLI1	-	-	Homo sapiens
chr10	5639306	5639326	21	+	22.2737443653525	MA0138.2	exon	vip	REST	REST	RE1-silencing transcription factor	Homo sapiens
chr10	5646100	5646113	14	+	4.10051407397701	MA0163.1	intron	vip	PLAG1	PLAG1	pleiomorphic adenoma gene 1	Homo sapiens
chr10	5644239	5644249	11	+	13.5965534617826	MA0476.1	intron	vip	FOS	FOS	FBJ murine osteosarcoma viral oncogene homolog	Homo sapiens
chr10	5644462	5644476	15	+	13.0744130037004	MA0484.1	intron	vip	HNF4G	HNF4G	hepatocyte nuclear factor 4,gamma	Homo sapiens
chr10	5645484	5645498	15	+	13.1288280558738	MA0484.1	intron	vip	HNF4G	HNF4G	hepatocyte nuclear factor 4,gamma	Homo sapiens
chr10	5642258	5642272	15	+	14.5230345952668	MA0492.1	intron	vip	JUND(var.2)	JUND	jun D proto-oncogene	Homo sapiens
chr10	5645889	5645903	15	+	20.088864408707	MA0497.1	intron	vip	MEF2C	MEF2C	myocyte enhancer factor 2C	Homo sapiens
chr10	5644363	5644377	15	+	9.08405987775151	MA0504.1	intron	vip	NR2C2	NR2C2	nuclear receptor subfamily 2,group C,member 2	Homo sapiens
chr10	5645744	5645758	15	+	10.1428507060835	MA0504.1	intron	vip	NR2C2	NR2C2	nuclear receptor subfamily 2,group C,member 2	Homo sapiens
chr10	5640492	5640504	13	+	11.886301258444	MA0513.1	intron	vip	SMAD2::SMAD3::SMAD4	-	-	Homo sapiens
chr10	5641435	5641447	13	+	10.2076117282477	MA0513.1	intron	vip	SMAD2::SMAD3::SMAD4	-	-	Homo sapiens
chr10	5643082	5643096	15	+	9.25992689215261	MA0516.1	intron	vip	SP2	SP2	Sp2 transcription factor	Homo sapiens
chr10	5646535	5646549	15	+	7.19129544989396	MA0516.1	intron	vip	SP2	SP2	Sp2 transcription factor	Homo sapiens
chr10	5639710	5639724	15	+	15.6160923935711	MA0517.1	intron	vip	STAT1::STAT2	-	-	Homo sapiens
chr10	5644109	5644129	21	+	14.2673259716918	MA0528.1	exon	vip	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr10	5644112	5644132	21	+	13.0173617600143	MA0528.1	intron	vip	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr10	5642502	5642516	15	+	12.6927449949768	MA0258.2	exon	vip	ESR2	ESR2	estrogen receptor 2 (ER beta)	Homo sapiens
chr10	5642091	5642105	15	+	15.7693292731525	MA0148.3	intron	vip	FOXA1	FOXA1	forkhead box A1	Homo sapiens
chr10	5643712	5643726	15	+	15.9306593797503	MA0148.3	intron	vip	FOXA1	FOXA1	forkhead box A1	Homo sapiens
chr10	5646930	5646944	15	+	17.6944056101358	MA0148.3	exon	vip	FOXA1	FOXA1	forkhead box A1	Homo sapiens
chr10	5639708	5639728	21	+	16.6716633364337	MA0050.2	intron	vip	IRF1	IRF1	interferon regulatory factor 1	Homo sapiens
chr10	5639747	5639767	21	+	14.9153920409141	MA0050.2	intron	vip	IRF1	IRF1	interferon regulatory factor 1	Homo sapiens
chr10	5643082	5643092	11	+	10.5130340735135	MA0079.3	intron	vip	SP1	SP1	Sp1 transcription factor	Homo sapiens
chr10	5639914	5639924	11	+	15.516195771045	MA0137.3	intron	vip	STAT1	STAT1	signal transducer and activator of transcription 1,91kDa	Homo sapiens
chr10	5640744	5640754	11	+	15.5094589770253	MA0137.3	intron	vip	STAT1	STAT1	signal transducer and activator of transcription 1,91kDa	Homo sapiens
chr10	5639914	5639924	11	+	15.5784902056858	MA0144.2	intron	vip	STAT3	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	Homo sapiens
chr10	5640744	5640754	11	+	15.1915174014566	MA0144.2	intron	vip	STAT3	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	Homo sapiens
chr10	5640306	5640323	18	+	13.7694364491198	MA0140.2	intron	vip	GATA1::TAL1	-	-	Homo sapiens
chr10	5644519	5644536	18	+	13.9615091245856	MA0140.2	intron	vip	GATA1::TAL1	-	-	Homo sapiens
chr10	5646820	5646830	11	+	13.4953774275661	MA0093.2	exon	vip	USF1	USF1	upstream transcription factor 1	Homo sapiens
chr10	5645952	5645963	12	+	13.1292718970976	MA0095.2	intron	vip	YY1	YY1	YY1 transcription factor	Homo sapiens
chr10	5643082	5643091	10	+	9.24615435034072	MA0599.1	intron	vip	KLF5	KLF5	Kruppel-like factor 5 (intestinal)	Homo sapiens
chr10	5647555	5647564	10	+	13.816719357597	MA0625.1	exon	vip	NFATC3			Homo sapiens
chr10	5644705	5644714	10	+	12.7686056951774	MA0635.1	intron	vip	BARHL2			Homo sapiens
chr10	5646820	5646829	10	+	6.60622368317732	MA0636.1	exon	vip	BHLHE41			Homo sapiens
chr10	5643158	5643167	10	+	12.5640730064439	MA0642.1	intron	vip	EN2			Homo sapiens
chr10	5646083	5646092	10	+	11.0682950692795	MA0645.1	intron	vip	ETV6			Homo sapiens
chr10	5646163	5646174	12	+	14.5047460651773	MA0647.1	intron	vip	GRHL1			Homo sapiens
chr10	5639580	5639589	10	+	12.6696928557844	MA0648.1	intron	vip	GSC			Homo sapiens
chr10	5644877	5644886	10	+	9.36610699799413	MA0649.1	intron	vip	HEY2			Homo sapiens
chr10	5646581	5646595	15	+	21.2192669836297	MA0046.2	intron	vip	HNF1A			Homo sapiens
chr10	5646582	5646594	13	+	20.9307769405148	MA0153.2	intron	vip	HNF1B			Homo sapiens
chr10	5643705	5643717	13	+	10.6132365179681	MA0486.2	intron	vip	HSF1			Homo sapiens
chr10	5646640	5646652	13	+	20.3683696808164	MA0486.2	intron	vip	HSF1			Homo sapiens
chr10	5642261	5642272	12	+	13.599430290954	MA0656.1	intron	vip	JDP2(var.2)			Homo sapiens
chr10	5646820	5646829	10	+	13.0619473804079	MA0663.1	exon	vip	MLX			Homo sapiens
