tfbs	frequency	gene
Alx1	1	slc32a1
ALX3	1	slc32a1
Alx4	1	slc32a1
ARGFX	1	slc32a1
Arid3b	3	slc32a1
Arid5a	1	slc32a1
Arx	1	slc32a1
ASCL1	1	slc32a1
ASCL1(var.2)	1	slc32a1
Ascl2	1	slc32a1
ATF3	1	slc32a1
ATF6	1	slc32a1
ATF7	1	slc32a1
ATOH1(var.2)	2	slc32a1
ATOH7	1	slc32a1
BACH1	2	slc32a1
BACH2	3	slc32a1
BARX2	1	slc32a1
BATF	1	slc32a1
BATF::JUN	1	slc32a1
BATF3	1	slc32a1
BCL6	2	slc32a1
BCL6B	1	slc32a1
BHLHE22(var.2)	3	slc32a1
CEBPD	1	slc32a1
CEBPG(var.2)	1	slc32a1
CLOCK	1	slc32a1
CREB3L4(var.2)	1	slc32a1
Creb5	1	slc32a1
CREM	1	slc32a1
Crx	1	slc32a1
CTCF	2	slc32a1
CTCFL	4	slc32a1
CUX1	1	slc32a1
CUX2	1	slc32a1
DMRT3	2	slc32a1
DPRX	1	slc32a1
E2F6	5	slc32a1
E2F8	2	slc32a1
EBF1	3	slc32a1
Ebf2	1	slc32a1
EBF3	1	slc32a1
EGR1	10	slc32a1
EGR2	3	slc32a1
EGR3	2	slc32a1
EGR4	5	slc32a1
EHF	4	slc32a1
ELF1	1	slc32a1
ELF3	4	slc32a1
ELK4	1	slc32a1
ESR1	1	slc32a1
ESR2	2	slc32a1
ESRRA	2	slc32a1
ESRRB	2	slc32a1
Esrrg	1	slc32a1
ETV1	2	slc32a1
ETV2	1	slc32a1
ETV4	1	slc32a1
ETV5	1	slc32a1
EWSR1-FLI1	12	slc32a1
FOS	2	slc32a1
FOS::JUN	2	slc32a1
FOS::JUN(var.2)	1	slc32a1
FOS::JUNB	2	slc32a1
FOS::JUND	2	slc32a1
FOSB::JUN	1	slc32a1
FOSB::JUNB	1	slc32a1
FOSB::JUNB(var.2)	1	slc32a1
FOSL1	1	slc32a1
FOSL1::JUN	1	slc32a1
FOSL1::JUN(var.2)	1	slc32a1
FOSL1::JUNB	1	slc32a1
FOSL1::JUND	2	slc32a1
FOSL2	2	slc32a1
FOSL2::JUN	2	slc32a1
FOSL2::JUN(var.2)	1	slc32a1
FOSL2::JUNB	1	slc32a1
FOSL2::JUNB(var.2)	1	slc32a1
FOSL2::JUND	1	slc32a1
FOSL2::JUND(var.2)	1	slc32a1
FOXA2	2	slc32a1
FOXA3	3	slc32a1
FOXB1	3	slc32a1
FOXC1	4	slc32a1
FOXC2	6	slc32a1
FOXD2	5	slc32a1
FOXE1	3	slc32a1
Foxf1	2	slc32a1
FOXF2	1	slc32a1
Foxj3	4	slc32a1
FOXK1	3	slc32a1
FOXK2	3	slc32a1
Foxl2	2	slc32a1
Foxo1	1	slc32a1
