seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr12	57810935	57810948	14	+	13.8318941944806	MA0030.1	exon	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr12	57811237	57811250	14	+	11.7129903973528	MA0030.1	exon	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr12	57811357	57811374	18	+	9.7091704260602	MA0051.1	exon	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr12	57796704	57796714	11	+	13.1136245451788	MA0465.1	exon	Shank3	CDX2	CDX2	caudal type homeobox 2	Homo sapiens
chr12	57810762	57810772	11	+	12.6300871474195	MA0471.1	exon	Shank3	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr12	57810670	57810680	11	+	13.5687938932502	MA0477.1	exon	Shank3	FOSL1	FOSL1	FOS-like antigen 1	Homo sapiens
chr12	57810669	57810679	11	+	14.5629792307078	MA0478.1	exon	Shank3	FOSL2	FOSL2	FOS-like antigen 2	Homo sapiens
chr12	57811810	57811824	15	+	11.9064320723521	MA0484.1	exon	Shank3	HNF4G	HNF4G	hepatocyte nuclear factor 4,gamma	Homo sapiens
chr12	57810669	57810679	11	+	13.9969022414638	MA0490.1	exon	Shank3	JUNB	JUNB	jun B proto-oncogene	Homo sapiens
chr12	57810670	57810680	11	+	12.0325630110921	MA0491.1	exon	Shank3	JUND	JUND	jun D proto-oncogene	Homo sapiens
chr12	57798030	57798044	15	+	13.0833666637366	MA0492.1	CDS	Shank3	JUND(var.2)	JUND	jun D proto-oncogene	Homo sapiens
chr12	57796706	57796720	15	+	13.5441507619729	MA0497.1	exon	Shank3	MEF2C	MEF2C	myocyte enhancer factor 2C	Homo sapiens
chr12	57811031	57811045	15	+	13.9447969213652	MA0517.1	exon	Shank3	STAT1::STAT2	-	-	Homo sapiens
chr12	57798058	57798078	21	+	9.2181513443884	MA0528.1	CDS	Shank3	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr12	57810764	57810784	21	+	11.0272981712077	MA0528.1	exon	Shank3	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr12	57810771	57810791	21	+	10.6452339183278	MA0528.1	exon	Shank3	ZNF263	ZNF263	zinc finger protein 263	Homo sapiens
chr12	57798170	57798184	15	+	14.729569785662	MA0258.2	CDS	Shank3	ESR2	ESR2	estrogen receptor 2 (ER beta)	Homo sapiens
chr12	57811789	57811809	21	+	14.7071358255782	MA0050.2	exon	Shank3	IRF1	IRF1	interferon regulatory factor 1	Homo sapiens
chr12	57811458	57811468	11	+	13.6679120133314	MA0137.3	exon	Shank3	STAT1	STAT1	signal transducer and activator of transcription 1,91kDa	Homo sapiens
chr12	57811565	57811574	10	+	11.3952543405181	MA0595.1	exon	Shank3	SREBF1	SREBF1	sterol regulatory element binding transcription factor 1	Homo sapiens
chr12	57812140	57812149	10	+	11.845569403673	MA0595.1	exon	Shank3	SREBF1	SREBF1	sterol regulatory element binding transcription factor 1	Homo sapiens
chr12	57798131	57798145	15	+	12.4128473969895	MA0046.2	CDS	Shank3	HNF1A			Homo sapiens
chr12	57796706	57796715	10	+	13.2599348431774	MA0650.1	exon	Shank3	HOXA13			Homo sapiens
chr12	57798033	57798044	12	+	12.6317248752754	MA0656.1	CDS	Shank3	JDP2(var.2)			Homo sapiens
chr12	57811257	57811266	10	+	12.5129128002521	MA0048.2	exon	Shank3	NHLH1			Homo sapiens
chr12	57798053	57798066	14	+	5.41210892708816	MA0080.4	CDS	Shank3	SPI1			Homo sapiens
chr12	57810773	57810786	14	+	14.5458523811934	MA0080.4	exon	Shank3	SPI1			Homo sapiens
chr12	57811629	57811642	14	+	6.60059364642515	MA0080.4	exon	Shank3	SPI1			Homo sapiens
chr12	57811546	57811557	12	+	9.93315778780881	MA0694.1	exon	Shank3	ZBTB7B			Homo sapiens
chr12	57811546	57811557	12	+	10.5382531925807	MA0695.1	exon	Shank3	ZBTB7C			Homo sapiens
chr12	57811109	57811123	15	+	8.97209399420849	MA0697.1	exon	Shank3	ZIC3			Homo sapiens
chr12	57811774	57811784	11	+	10.2391175876371	MA0141.3	exon	Shank3	ESRRB			Homo sapiens
chr12	57812040	57812057	18	+	7.6610683917757	MA0729.1	exon	Shank3	RARA			Homo sapiens
chr12	57811109	57811119	11	+	10.8762738664634	MA0741.1	exon	Shank3	KLF16			Homo sapiens
chr12	57796769	57796783	15	+	14.7988704767242	MA0743.1	exon	Shank3	SCRT1			Homo sapiens
chr12	57796769	57796781	13	+	13.1626320543157	MA0744.1	exon	Shank3	SCRT2			Homo sapiens
chr12	57798141	57798154	14	+	14.9153534799547	MA0790.1	CDS	Shank3	POU4F1			Homo sapiens
chr12	57798141	57798156	16	+	14.6050020752004	MA0791.1	CDS	Shank3	POU4F3			Homo sapiens
chr12	57811123	57811138	16	+	8.54870484122415	MA0600.2	exon	Shank3	RFX2			Homo sapiens
chr12	57811123	57811138	16	+	11.6943139732042	MA0798.1	exon	Shank3	RFX3			Homo sapiens
chr12	57810813	57810824	12	+	10.6095820373335	MA0810.1	exon	Shank3	TFAP2A(var.2)			Homo sapiens
chr12	57810922	57810931	10	+	11.88145089274	MA0820.1	exon	Shank3	FIGLA			Homo sapiens
chr12	57811086	57811095	10	+	12.1756850895642	MA0058.3	exon	Shank3	MAX			Homo sapiens
chr12	57811086	57811095	10	+	12.6970519820479	MA0825.1	exon	Shank3	MNT			Homo sapiens
chr12	57798032	57798045	14	+	9.67920472709929	MA0834.1	CDS	Shank3	ATF7			Homo sapiens
chr12	57798032	57798045	14	+	3.78772451015471	MA0835.1	CDS	Shank3	BATF3			Homo sapiens
chr12	57811727	57811737	11	+	11.5837091325316	MA0842.1	exon	Shank3	NRL			Homo sapiens
chr12	57797741	57797758	18	+	0.591749198730374	MA0525.2	CDS	Shank3	TP63			Homo sapiens
chr12	57796705	57796715	11	+	12.7235632638849	MA0899.1	exon	Shank3	HOXA10			Homo sapiens
chr12	57811255	57811267	13	+	13.0487172050474	MA1100.1	exon	Shank3	ASCL1			Homo sapiens
chr12	57798033	57798044	12	+	12.5189792272448	MA0018.3	CDS	Shank3	CREB1			Homo sapiens
chr12	57810937	57810950	14	+	12.0270600841642	MA0852.2	exon	Shank3	FOXK1			Homo sapiens
chr12	57810938	57810948	11	+	12.7250392679746	MA1103.1	exon	Shank3	FOXK2			Homo sapiens
chr12	57810938	57810949	12	+	12.48126902408	MA0481.2	exon	Shank3	FOXP1			Homo sapiens
chr12	57811084	57811096	13	+	12.7315183070537	MA1108.1	exon	Shank3	MXI1			Homo sapiens
chr12	57811085	57811096	12	+	13.8338462727232	MA0147.3	exon	Shank3	MYC			Homo sapiens
chr12	57801103	57801114	12	+	10.750662175394	MA0104.4	CDS	Shank3	MYCN			Homo sapiens
chr12	57811085	57811096	12	+	11.0464518889467	MA0104.4	exon	Shank3	MYCN			Homo sapiens
chr12	57811246	57811258	13	+	13.8256361902465	MA1109.1	exon	Shank3	NEUROD1			Homo sapiens
chr12	57798005	57798015	11	+	12.2002378464578	MA0442.2	CDS	Shank3	SOX10			Homo sapiens
chr12	57810671	57810680	10	+	13.1617611629986	MA0099.3	exon	Shank3	FOS::JUN			Homo sapiens
chr12	57798033	57798043	11	+	11.9318592441888	MA1127.1	CDS	Shank3	FOSB::JUN			Homo sapiens
chr12	57798034	57798043	10	+	13.338300320159	MA1129.1	CDS	Shank3	FOSL1::JUN(var.2)			Homo sapiens
chr12	57810669	57810680	12	+	13.8175653703053	MA1130.1	exon	Shank3	FOSL2::JUN			Homo sapiens
chr12	57798033	57798043	11	+	12.5777313815332	MA1131.1	CDS	Shank3	FOSL2::JUN(var.2)			Homo sapiens
chr12	57810670	57810681	12	+	13.912684718003	MA1134.1	exon	Shank3	FOS::JUNB			Homo sapiens
chr12	57810670	57810679	10	+	12.8388956894969	MA1135.1	exon	Shank3	FOSB::JUNB			Homo sapiens
chr12	57798034	57798043	10	+	12.7303981656481	MA1136.1	CDS	Shank3	FOSB::JUNB(var.2)			Homo sapiens
chr12	57810670	57810679	10	+	12.6904899358	MA1138.1	exon	Shank3	FOSL2::JUNB			Homo sapiens
chr12	57798033	57798044	12	+	13.3516572530861	MA1139.1	CDS	Shank3	FOSL2::JUNB(var.2)			Homo sapiens
chr12	57798034	57798043	10	+	12.3133193458508	MA1140.1	CDS	Shank3	JUNB(var.2)			Homo sapiens
chr12	57810669	57810681	13	+	14.3970749366746	MA1141.1	exon	Shank3	FOS::JUND			Homo sapiens
chr12	57798034	57798043	10	+	10.9298916227655	MA1143.1	CDS	Shank3	FOSL1::JUND(var.2)			Homo sapiens
chr12	57810670	57810679	10	+	12.7884477327053	MA1144.1	exon	Shank3	FOSL2::JUND			Homo sapiens
chr12	57798032	57798046	15	+	14.65382316243	MA1145.1	CDS	Shank3	FOSL2::JUND(var.2)			Homo sapiens
chr12	57811795	57811804	10	+	13.6383957734361	MA1152.1	exon	Shank3	SOX15			Homo sapiens
chr12	57811664	57811682	19	+	11.7404683452832	MA0494.1	exon	Shank3	Nr1h3::Rxra	-	-	Mus musculus
chr12	57811257	57811269	13	+	13.8984072685974	MA0499.1	exon	Shank3	Myod1	MYOD1	myogenic differentiation 1	Mus musculus
chr12	57811257	57811267	11	+	14.2540612558245	MA0500.1	exon	Shank3	Myog	MYOG	myogenin (myogenic factor 4)	Mus musculus
chr12	57797580	57797589	10	+	14.9696698964362	MA0515.1	CDS	Shank3	Sox6	SOX6	SRY (sex determining region Y)-box 6	Mus musculus
chr12	57811458	57811471	14	+	13.1440566549956	MA0518.1	exon	Shank3	Stat4	STAT4	signal transducer and activator of transcription 4	Mus musculus
chr12	57798116	57798126	11	+	15.325896346126	MA0519.1	CDS	Shank3	Stat5a::Stat5b	-	-	Mus musculus
chr12	57811457	57811467	11	+	13.3005252254457	MA0519.1	exon	Shank3	Stat5a::Stat5b	-	-	Mus musculus
chr12	57811257	57811267	11	+	13.7682454099451	MA0521.1	exon	Shank3	Tcf12	TCF12	transcription factor 12	Mus musculus
chr12	57796727	57796743	17	+	11.1827481916344	MA0615.1	exon	Shank3	Gmeb1			Mus musculus
chr12	57811811	57811826	16	+	8.70039899602396	MA0114.3	exon	Shank3	Hnf4a			Mus musculus
chr12	57812040	57812054	15	+	0.738602360898905	MA0728.1	exon	Shank3	Nr2f6(var.2)			Mus musculus
chr12	57811257	57811266	10	+	14.253650958327	MA0816.1	exon	Shank3	Ascl2			Mus musculus
chr12	57798033	57798044	12	+	13.6802773647016	MA0840.1	CDS	Shank3	Creb5			Mus musculus
chr12	57810935	57810951	17	+	12.3770772860584	MA0851.1	exon	Shank3	Foxj3			Mus musculus
chr12	57812039	57812054	16	+	4.40732394096511	MA0857.1	exon	Shank3	Rarb			Mus musculus
chr12	57798159	57798175	17	+	0.0093725123513877	MA0858.1	CDS	Shank3	Rarb(var.2)			Mus musculus
chr12	57812040	57812055	16	+	11.5982564453442	MA0859.1	exon	Shank3	Rarg			Mus musculus
chr12	57811395	57811409	15	+	10.1591369631954	MA0870.1	exon	Shank3	Sox1			Mus musculus
chr12	57796706	57796715	10	+	12.7009938786265	MA0913.1	exon	Shank3	Hoxd9			Mus musculus
