seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr2	158613339	158613356	18	-	7.64302709016695	MA0051.1	intron	slc32a1	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr2	158611699	158611718	20	+	14.0805628258904	MA0073.1	intron	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615032	158615051	20	+	15.7057295126944	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615034	158615053	20	+	13.6375688256629	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615060	158615079	20	+	19.1323335174125	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615062	158615081	20	+	13.1063831380533	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615064	158615083	20	+	13.4342416514769	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615293	158615312	20	+	16.8062767400726	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158615295	158615314	20	+	14.4573915757987	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158611551	158611570	20	-	13.8142916455946	MA0073.1	exon	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158611860	158611879	20	-	13.6800397436868	MA0073.1	intron	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158611864	158611883	20	-	15.9897292368471	MA0073.1	intron	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158611865	158611884	20	-	14.5463859107943	MA0073.1	intron	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158611870	158611889	20	-	16.5738282628797	MA0073.1	intron	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158611932	158611951	20	-	14.1331856870455	MA0073.1	intron	slc32a1	RREB1	RREB1	ras responsive element binding protein 1	Homo sapiens
chr2	158612436	158612445	10	-	14.2432676728355	MA0101.1	intron	slc32a1	REL	REL	v-rel avian reticuloendotheliosis viral oncogene homolog	Homo sapiens
chr2	158612436	158612445	10	-	15.3044911670818	MA0107.1	intron	slc32a1	RELA	RELA	v-rel avian reticuloendotheliosis viral oncogene homolog A	Homo sapiens
chr2	158610935	158610953	19	+	12.3961166308987	MA0139.1	exon	slc32a1	CTCF	CTCF	CCCTC-binding factor (zinc finger protein)	Homo sapiens
chr2	158610991	158611009	19	-	11.915055105425	MA0139.1	exon	slc32a1	CTCF	CTCF	CCCTC-binding factor (zinc finger protein)	Homo sapiens
chr2	158613721	158613739	19	-	15.8510310173217	MA0139.1	intron	slc32a1	CTCF	CTCF	CCCTC-binding factor (zinc finger protein)	Homo sapiens
chr2	158615340	158615357	18	+	-5.14094073372608	MA0149.1	exon	slc32a1	EWSR1-FLI1	-	-	Homo sapiens
chr2	158611209	158611226	18	-	-3.52989365937045	MA0149.1	exon	slc32a1	EWSR1-FLI1	-	-	Homo sapiens
chr2	158613328	158613345	18	-	-7.59659032632521	MA0149.1	intron	slc32a1	EWSR1-FLI1	-	-	Homo sapiens
chr2	158613332	158613349	18	-	5.67181551657232	MA0149.1	intron	slc32a1	EWSR1-FLI1	-	-	Homo sapiens
chr2	158613570	158613587	18	-	-2.29883812785691	MA0149.1	intron	slc32a1	EWSR1-FLI1	-	-	Homo sapiens
chr2	158611221	158611231	11	-	14.9028037332439	MA0470.1	exon	slc32a1	E2F4	E2F4	E2F transcription factor 4,p107/p130-binding	Homo sapiens
chr2	158615163	158615173	11	+	14.3274971985454	MA0471.1	exon	slc32a1	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr2	158615243	158615253	11	+	13.2094250285487	MA0471.1	exon	slc32a1	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr2	158615339	158615349	11	+	12.4114215842493	MA0471.1	exon	slc32a1	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr2	158615348	158615358	11	+	13.856692354812	MA0471.1	exon	slc32a1	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr2	158611221	158611231	11	-	15.1703828691718	MA0471.1	exon	slc32a1	E2F6	E2F6	E2F transcription factor 6	Homo sapiens
chr2	158612149	158612163	15	-	12.5570240385222	MA0497.1	intron	slc32a1	MEF2C	MEF2C	myocyte enhancer factor 2C	Homo sapiens
