seqnames	start	end	width	strand	type	gene_name
chr10	750119	750121	2	-	stop_codon	Shank3
chr10	750122	750710	588	-	CDS	Shank3
chr10	748224	750710	2486	-	exon	Shank3
chr10	758881	761134	2253	-	CDS	Shank3
chr10	758881	761134	2253	-	exon	Shank3
chr10	765539	765623	84	-	CDS	Shank3
chr10	765539	765623	84	-	exon	Shank3
chr10	766213	766343	130	-	CDS	Shank3
chr10	766213	766343	130	-	exon	Shank3
chr10	769582	769605	23	-	CDS	Shank3
chr10	769582	769605	23	-	exon	Shank3
chr10	776332	776412	80	-	CDS	Shank3
chr10	776332	776412	80	-	exon	Shank3
chr10	777380	777512	132	-	CDS	Shank3
chr10	777380	777512	132	-	exon	Shank3
chr10	777615	777739	124	-	CDS	Shank3
chr10	777615	777739	124	-	exon	Shank3
chr10	778229	778311	82	-	CDS	Shank3
chr10	778229	778311	82	-	exon	Shank3
chr10	778565	778640	75	-	CDS	Shank3
chr10	778565	778640	75	-	exon	Shank3
chr10	783995	784108	113	-	CDS	Shank3
chr10	783995	784108	113	-	exon	Shank3
chr10	785075	785268	193	-	CDS	Shank3
chr10	785075	785268	193	-	exon	Shank3
chr10	788037	788310	273	-	CDS	Shank3
chr10	788037	788310	273	-	exon	Shank3
chr10	797398	797464	66	-	CDS	Shank3
chr10	797398	797464	66	-	exon	Shank3
chr10	798464	798541	77	-	CDS	Shank3
chr10	798464	798541	77	-	exon	Shank3
chr10	798874	798990	116	-	CDS	Shank3
chr10	798874	798990	116	-	exon	Shank3
chr10	799116	799283	167	-	CDS	Shank3
chr10	799116	799283	167	-	exon	Shank3
chr10	799366	799517	151	-	CDS	Shank3
chr10	799366	799517	151	-	exon	Shank3
chr10	799590	799698	108	-	CDS	Shank3
chr10	799590	799698	108	-	exon	Shank3
chr10	801561	801632	71	-	CDS	Shank3
chr10	801561	801632	71	-	exon	Shank3
chr10	803750	803953	203	-	CDS	Shank3
chr10	803750	803953	203	-	exon	Shank3
chr10	804298	804360	62	-	CDS	Shank3
chr10	804358	804360	2	-	start_codon	Shank3
chr10	804298	804403	105	-	exon	Shank3
