seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr22	50634999	50635009	11	+	11.1852567849666	MA0025.1	Promoter	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50643243	50643253	11	+	14.6271166154459	MA0025.1	Promoter	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50647591	50647601	11	+	10.9985005316015	MA0025.1	Promoter	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50647808	50647818	11	+	11.0399168822363	MA0025.1	Promoter	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50659960	50659970	11	+	11.2248602113746	MA0025.1	Promoter	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50683892	50683902	11	+	10.9384142449746	MA0025.1	intron	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50701490	50701500	11	+	14.3802740754539	MA0025.1	intron	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50733186	50733196	11	+	14.4461110703559	MA0025.1	exon	SHANK3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr22	50650883	50650896	14	+	13.1184519948936	MA0030.1	Promoter	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50665222	50665235	14	+	12.1975497328788	MA0030.1	Promoter	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50695871	50695884	14	+	10.625311128033	MA0030.1	intron	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50718113	50718126	14	+	10.7749851853173	MA0030.1	intron	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50723993	50724006	14	+	9.41749292647424	MA0030.1	intron	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50735507	50735520	14	+	11.4126001978466	MA0030.1	intron	SHANK3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr22	50652682	50652699	18	+	12.7659297691004	MA0051.1	Promoter	SHANK3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr22	50655868	50655885	18	+	8.69768512931663	MA0051.1	Promoter	SHANK3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr22	50659107	50659124	18	+	19.5760029629244	MA0051.1	Promoter	SHANK3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr22	50662528	50662545	18	+	8.30634821861858	MA0051.1	Promoter	SHANK3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr22	50664042	50664059	18	+	9.03993689091662	MA0051.1	Promoter	SHANK3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
