seqnames	start	end	width	strand	score	group_name	type	gene_name	motif_nm	tf_symbol	description	species
chr15	89540255	89540265	11	+	18.2596218382636	MA0025.1	intron	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89552183	89552193	11	+	15.7170294917162	MA0025.1	intron	Shank3	NFIL3	NFIL3	nuclear factor,interleukin 3 regulated	Homo sapiens
chr15	89526375	89526388	14	+	15.8130409378617	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89554370	89554383	14	+	15.70743179368	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89554445	89554458	14	+	15.7381809539632	MA0030.1	intron	Shank3	FOXF2	FOXF2	forkhead box F2	Homo sapiens
chr15	89502860	89502877	18	+	13.9516066091782	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89511387	89511404	18	+	13.1205647007694	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89521154	89521171	18	+	14.8312459574585	MA0051.1	exon	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89521819	89521836	18	+	18.2315563286033	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89532044	89532061	18	+	18.5634401374225	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89534967	89534984	18	+	15.0556488378969	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89544981	89544998	18	+	13.9231899258282	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89551028	89551045	18	+	14.5772140229287	MA0051.1	intron	Shank3	IRF2	IRF2	interferon regulatory factor 2	Homo sapiens
chr15	89527555	89527564	10	+	9.95456010365327	MA0057.1	intron	Shank3	MZF1(var.2)	MZF1	myeloid zinc finger 1 ZNF42	Homo sapiens
