V1	V4	V5	(.$V5 - .$V4)	V7	V3	rep(gene, nrow(gene_features))
chr15	78191666	78191668	2	-	stop_codon	pvalb
chr15	78191669	78191694	25	-	CDS	pvalb
chr15	78191117	78191694	577	-	exon	pvalb
chr15	78191448	78191694	246	-	exon	pvalb
chr15	78191695	78201225	9531	-	intron	pvalb
chr15	78201226	78201335	109	-	CDS	pvalb
chr15	78201226	78201335	109	-	exon	pvalb
chr15	78201336	78202520	1185	-	intron	pvalb
chr15	78202521	78202653	132	-	CDS	pvalb
chr15	78202521	78202653	132	-	exon	pvalb
chr15	78202654	78204084	1431	-	intron	pvalb
chr15	78204085	78204145	60	-	CDS	pvalb
chr15	78204143	78204145	2	-	start_codon	pvalb
chr15	78204085	78204152	67	-	exon	pvalb
chr15	78204085	78204417	332	-	exon	pvalb
chr15	78204418	78206336	1919	-	intron	pvalb
chr15	78206337	78206351	14	-	exon	pvalb
